Calendar Year,Payer,Method of Delivery,Grouper,Birth Characteristic, Number of Births 
2010,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hispanic,619
2010,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Other/Unknown Race,60
2010,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Two or More Race Categories,52
2010,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,White,874
2011,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 17 and Younger,1651
2011,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 18-19,4110
2011,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 20-24,12792
2011,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 25-29,10215
2011,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 30-34,6917
2011,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 35 and Older,5219
2011,Medi-Cal,Cesarean-Primary,Maternal Age Group,Invalid Age,0
2011,Medi-Cal,Cesarean-Primary,Maternal Education Status,Bachelor's Degree or Higher,2532
2011,Medi-Cal,Cesarean-Primary,Maternal Education Status,High School Graduate,13598
2011,Medi-Cal,Cesarean-Primary,Maternal Education Status,Less Than High School,12490
2011,Medi-Cal,Cesarean-Primary,Maternal Education Status,Some College or Associate's Degree,10819
2011,Medi-Cal,Cesarean-Primary,Maternal Education Status,Unknown Education,1465
2011,Medi-Cal,Cesarean-Primary,Maternal Nativity,Foreign-Born,16624
2011,Medi-Cal,Cesarean-Primary,Maternal Nativity,U.S.-Born,24264
2011,Medi-Cal,Cesarean-Primary,Maternal Nativity,Unknown Nativity,16
2011,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,African-American,3838
2011,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,American Indian/Alaska Native,167
2011,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Asian,2498
2011,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,193
2011,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hispanic,25966
2011,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Other/Unknown Race,491
2011,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Two or More Race Categories,892
2011,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,White,6859
2011,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 17 and Younger,98
2011,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 18-19,888
2011,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 20-24,8851
2011,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 25-29,12817
2011,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 30-34,10394
2011,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 35 and Older,7474
2011,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Invalid Age,0
2011,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Bachelor's Degree or Higher,1622
2011,Medi-Cal,Cesarean-Repeat,Maternal Education Status,High School Graduate,12648
2011,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Less Than High School,16321
2011,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Some College or Associate's Degree,8551
2011,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Unknown Education,1380
2011,Medi-Cal,Cesarean-Repeat,Maternal Nativity,Foreign-Born,21181
2011,Medi-Cal,Cesarean-Repeat,Maternal Nativity,U.S.-Born,19318
2011,Medi-Cal,Cesarean-Repeat,Maternal Nativity,Unknown Nativity,23
2011,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,African-American,3093
2011,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,American Indian/Alaska Native,199
2011,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Asian,1772
2011,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,203
2011,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hispanic,29054
2011,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Other/Unknown Race,389
2011,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Two or More Race Categories,586
2011,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,White,5226
2011,Medi-Cal,Vaginal,Maternal Age Group,Ages 17 and Younger,7560
2011,Medi-Cal,Vaginal,Maternal Age Group,Ages 18-19,16830
2011,Medi-Cal,Vaginal,Maternal Age Group,Ages 20-24,54783
2011,Medi-Cal,Vaginal,Maternal Age Group,Ages 25-29,44669
2011,Medi-Cal,Vaginal,Maternal Age Group,Ages 30-34,27597
2011,Medi-Cal,Vaginal,Maternal Age Group,Ages 35 and Older,15646
2011,Medi-Cal,Vaginal,Maternal Age Group,Invalid Age,0
2011,Medi-Cal,Vaginal,Maternal Education Status,Bachelor's Degree or Higher,7514
2011,Medi-Cal,Vaginal,Maternal Education Status,High School Graduate,55682
2011,Medi-Cal,Vaginal,Maternal Education Status,Less Than High School,59368
2011,Medi-Cal,Vaginal,Maternal Education Status,Some College or Associate's Degree,38377
2011,Medi-Cal,Vaginal,Maternal Education Status,Unknown Education,6144
2011,Medi-Cal,Vaginal,Maternal Nativity,Foreign-Born,73766
2011,Medi-Cal,Vaginal,Maternal Nativity,U.S.-Born,93254
2011,Medi-Cal,Vaginal,Maternal Nativity,Unknown Nativity,65
2011,Medi-Cal,Vaginal,Maternal Race/Ethnicity,African-American,11273
2011,Medi-Cal,Vaginal,Maternal Race/Ethnicity,American Indian/Alaska Native,711
2011,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Asian,10164
2011,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,794
2011,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hispanic,114170
2011,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Other/Unknown Race,2115
2011,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Two or More Race Categories,3048
2011,Medi-Cal,Vaginal,Maternal Race/Ethnicity,White,24810
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 17 and Younger,6
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 18-19,42
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 20-24,349
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 25-29,514
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 30-34,423
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 35 and Older,313
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Invalid Age,0
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Bachelor's Degree or Higher,83
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,High School Graduate,499
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Less Than High School,661
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Some College or Associate's Degree,341
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Unknown Education,63
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Foreign-Born,957
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,U.S.-Born,690
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Unknown Nativity,0
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,African-American,165
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,American Indian/Alaska Native,8
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Asian,115
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,10
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hispanic,1107
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Other/Unknown Race,14
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Two or More Race Categories,26
2011,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,White,202
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 17 and Younger,460
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 18-19,805
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 20-24,4646
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 25-29,12236
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 30-34,17003
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 35 and Older,14638
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Invalid Age,8
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Bachelor's Degree or Higher,24971
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,High School Graduate,7258
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Less Than High School,2392
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Some College or Associate's Degree,12819
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Unknown Education,2356
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,Foreign-Born,17602
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,U.S.-Born,32170
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,Unknown Nativity,24
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,African-American,2067
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,American Indian/Alaska Native,114
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Asian,9947
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,197
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hispanic,14537
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Other/Unknown Race,1594
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Two or More Race Categories,1188
2011,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,White,20152
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 17 and Younger,25
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 18-19,116
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 20-24,1757
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 25-29,6927
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 30-34,12605
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 35 and Older,13301
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Invalid Age,1
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Bachelor's Degree or Higher,15530
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,High School Graduate,5883
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Less Than High School,2554
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Some College or Associate's Degree,9440
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Unknown Education,1325
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Nativity,Foreign-Born,13447
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Nativity,U.S.-Born,21272
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Nativity,Unknown Nativity,13
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,African-American,1300
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,American Indian/Alaska Native,97
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Asian,6399
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,129
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hispanic,12214
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Other/Unknown Race,760
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Two or More Race Categories,752
2011,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,White,13081
2011,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 17 and Younger,2367
2011,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 18-19,3456
2011,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 20-24,18765
2011,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 25-29,44967
2011,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 30-34,54705
2011,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 35 and Older,34887
2011,Non-Medi-Cal,Vaginal,Maternal Age Group,Invalid Age,9
2011,Non-Medi-Cal,Vaginal,Maternal Education Status,Bachelor's Degree or Higher,73028
2011,Non-Medi-Cal,Vaginal,Maternal Education Status,High School Graduate,27368
2011,Non-Medi-Cal,Vaginal,Maternal Education Status,Less Than High School,10430
2011,Non-Medi-Cal,Vaginal,Maternal Education Status,Some College or Associate's Degree,42018
2011,Non-Medi-Cal,Vaginal,Maternal Education Status,Unknown Education,6312
2011,Non-Medi-Cal,Vaginal,Maternal Nativity,Foreign-Born,53672
2011,Non-Medi-Cal,Vaginal,Maternal Nativity,U.S.-Born,105386
2011,Non-Medi-Cal,Vaginal,Maternal Nativity,Unknown Nativity,98
2011,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,African-American,4978
2011,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,American Indian/Alaska Native,431
2011,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Asian,30227
2011,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,591
2011,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hispanic,50456
2011,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Other/Unknown Race,3823
2011,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Two or More Race Categories,3841
2011,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,White,64809
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 17 and Younger,1
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 18-19,5
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 20-24,108
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 25-29,468
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 30-34,880
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 35 and Older,724
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Invalid Age,1
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Bachelor's Degree or Higher,1171
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,High School Graduate,312
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Less Than High School,124
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Some College or Associate's Degree,512
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Unknown Education,68
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Foreign-Born,818
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,U.S.-Born,1366
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Unknown Nativity,3
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,African-American,79
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,American Indian/Alaska Native,9
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Asian,441
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,19
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hispanic,607
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Other/Unknown Race,39
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Two or More Race Categories,72
2011,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,White,921
2012,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 17 and Younger,1570
2012,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 18-19,3983
2012,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 20-24,12584
2012,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 25-29,10074
2012,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 30-34,7007
2012,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 35 and Older,5205
2012,Medi-Cal,Cesarean-Primary,Maternal Age Group,Invalid Age,0
2012,Medi-Cal,Cesarean-Primary,Maternal Education Status,Bachelor's Degree or Higher,2634
2012,Medi-Cal,Cesarean-Primary,Maternal Education Status,High School Graduate,13741
2012,Medi-Cal,Cesarean-Primary,Maternal Education Status,Less Than High School,11354
2012,Medi-Cal,Cesarean-Primary,Maternal Education Status,Some College or Associate's Degree,11095
2012,Medi-Cal,Cesarean-Primary,Maternal Education Status,Unknown Education,1599
2012,Medi-Cal,Cesarean-Primary,Maternal Nativity,Foreign-Born,15581
2012,Medi-Cal,Cesarean-Primary,Maternal Nativity,U.S.-Born,24823
2012,Medi-Cal,Cesarean-Primary,Maternal Nativity,Unknown Nativity,19
2012,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,African-American,3799
2012,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,American Indian/Alaska Native,178
2012,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Asian,2476
2012,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,187
2012,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hispanic,25558
2012,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Other/Unknown Race,702
2012,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Two or More Race Categories,942
2012,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,White,6581
2012,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 17 and Younger,116
2012,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 18-19,842
2012,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 20-24,8800
2012,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 25-29,13061
2012,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 30-34,10667
2012,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 35 and Older,7996
2012,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Invalid Age,0
2012,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Bachelor's Degree or Higher,1864
2012,Medi-Cal,Cesarean-Repeat,Maternal Education Status,High School Graduate,13183
2012,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Less Than High School,15525
2012,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Some College or Associate's Degree,9414
2012,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Unknown Education,1496
2012,Medi-Cal,Cesarean-Repeat,Maternal Nativity,Foreign-Born,20636
2012,Medi-Cal,Cesarean-Repeat,Maternal Nativity,U.S.-Born,20833
2012,Medi-Cal,Cesarean-Repeat,Maternal Nativity,Unknown Nativity,13
2012,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,African-American,3345
2012,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,American Indian/Alaska Native,179
2012,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Asian,2106
2012,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,187
2012,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hispanic,29051
2012,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Other/Unknown Race,503
2012,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Two or More Race Categories,650
2012,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,White,5461
2012,Medi-Cal,Vaginal,Maternal Age Group,Ages 17 and Younger,6625
2012,Medi-Cal,Vaginal,Maternal Age Group,Ages 18-19,15714
2012,Medi-Cal,Vaginal,Maternal Age Group,Ages 20-24,53924
2012,Medi-Cal,Vaginal,Maternal Age Group,Ages 25-29,44835
2012,Medi-Cal,Vaginal,Maternal Age Group,Ages 30-34,27992
2012,Medi-Cal,Vaginal,Maternal Age Group,Ages 35 and Older,15839
2012,Medi-Cal,Vaginal,Maternal Age Group,Invalid Age,0
2012,Medi-Cal,Vaginal,Maternal Education Status,Bachelor's Degree or Higher,8058
2012,Medi-Cal,Vaginal,Maternal Education Status,High School Graduate,56081
2012,Medi-Cal,Vaginal,Maternal Education Status,Less Than High School,54348
2012,Medi-Cal,Vaginal,Maternal Education Status,Some College or Associate's Degree,39565
2012,Medi-Cal,Vaginal,Maternal Education Status,Unknown Education,6877
2012,Medi-Cal,Vaginal,Maternal Nativity,Foreign-Born,70092
2012,Medi-Cal,Vaginal,Maternal Nativity,U.S.-Born,94778
2012,Medi-Cal,Vaginal,Maternal Nativity,Unknown Nativity,59
2012,Medi-Cal,Vaginal,Maternal Race/Ethnicity,African-American,11257
2012,Medi-Cal,Vaginal,Maternal Race/Ethnicity,American Indian/Alaska Native,707
2012,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Asian,11001
2012,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,734
2012,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hispanic,111031
2012,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Other/Unknown Race,2617
2012,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Two or More Race Categories,3153
2012,Medi-Cal,Vaginal,Maternal Race/Ethnicity,White,24429
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 17 and Younger,7
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 18-19,48
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 20-24,384
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 25-29,637
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 30-34,540
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 35 and Older,361
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Invalid Age,0
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Bachelor's Degree or Higher,113
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,High School Graduate,559
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Less Than High School,764
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Some College or Associate's Degree,446
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Unknown Education,95
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Foreign-Born,1105
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,U.S.-Born,870
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Unknown Nativity,2
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,African-American,178
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,American Indian/Alaska Native,13
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Asian,152
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,11
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hispanic,1291
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Other/Unknown Race,29
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Two or More Race Categories,44
2012,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,White,259
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 17 and Younger,356
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 18-19,668
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 20-24,4353
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 25-29,11886
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 30-34,17461
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 35 and Older,15023
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Invalid Age,4
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Bachelor's Degree or Higher,25782
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,High School Graduate,6691
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Less Than High School,1985
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Some College or Associate's Degree,12411
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Unknown Education,2882
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,Foreign-Born,18164
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,U.S.-Born,31560
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,Unknown Nativity,27
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,African-American,1927
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,American Indian/Alaska Native,109
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Asian,11146
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,156
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hispanic,13783
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Other/Unknown Race,1933
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Two or More Race Categories,1248
2012,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,White,19449
2012,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 17 and Younger,11
2012,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 18-19,61
2012,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 20-24,1456
2012,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 25-29,6507
2012,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 30-34,12815
2012,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 35 and Older,13742
2012,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Invalid Age,0
2012,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Bachelor's Degree or Higher,16031
2012,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,High School Graduate,5417
2012,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Less Than High School,2288
