Calendar Year,Payer,Birthweight Range,Grouper,Birth Characteristic,Number of Births
2010,Medi-Cal,Unknown Birthweight,Maternal Education Status,Some College or Associate's Degree,3
2010,Medi-Cal,Unknown Birthweight,Maternal Education Status,Bachelor's Degree or Higher,0
2010,Medi-Cal,Unknown Birthweight,Maternal Education Status,Unknown Education,1
2010,Medi-Cal,Unknown Birthweight,Maternal Nativity,Foreign-Born,8
2010,Medi-Cal,Unknown Birthweight,Maternal Nativity,U.S.-Born,12
2010,Medi-Cal,Unknown Birthweight,Maternal Nativity,Unknown Nativity,0
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,African-American,3
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,0
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Asian,0
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,0
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hispanic,13
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,1
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,1
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,White,2
2010,Medi-Cal,Unknown Birthweight,Parity Status,First-Born,8
2010,Medi-Cal,Unknown Birthweight,Parity Status,One Previous Birth,5
2010,Medi-Cal,Unknown Birthweight,Parity Status,Two or More Previous Births,7
2010,Medi-Cal,Unknown Birthweight,Parity Status,Unknown Parity,0
2010,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Underweight,0
2010,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Normal Weight,6
2010,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,11
2010,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Unknown Weight,3
2010,Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Multiple Birth,0
2010,Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Singleton Birth,20
2010,Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Smoker,1
2010,Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Non-Smoker,17
2010,Medi-Cal,Unknown Birthweight,Smoking Status,Unknown Smoking Status,2
2010,Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Substance User,1
2010,Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Non-Substance User,18
2010,Medi-Cal,Unknown Birthweight,Substance Use Status,Unknown Substance Use Status,1
2010,Non-Medi-Cal,Low Birthweight,Diabetes Status,Diabetes Diagnosis,2001
2010,Non-Medi-Cal,Low Birthweight,Diabetes Status,No Diabetes Diagnosis,13094
2010,Non-Medi-Cal,Low Birthweight,Diabetes Status,Unknown Diabetes Status,2167
2010,Non-Medi-Cal,Low Birthweight,Hypertension Status,Hypertension Diagnosis,3722
2010,Non-Medi-Cal,Low Birthweight,Hypertension Status,No Hypertension Diagnosis,11373
2010,Non-Medi-Cal,Low Birthweight,Hypertension Status,Unknown Hypertension Status,2167
2010,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 17 and Younger,289
2010,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 18-19,378
2010,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 20-24,1775
2010,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 25-29,3877
2010,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 30-34,5377
2010,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 35 and Older,5558
2010,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Invalid Age,8
2010,Non-Medi-Cal,Low Birthweight,Maternal Education Status,Less Than High School,1380
2010,Non-Medi-Cal,Low Birthweight,Maternal Education Status,High School Graduate,2855
2010,Non-Medi-Cal,Low Birthweight,Maternal Education Status,Some College or Associate's Degree,4368
2010,Non-Medi-Cal,Low Birthweight,Maternal Education Status,Bachelor's Degree or Higher,7736
2010,Non-Medi-Cal,Low Birthweight,Maternal Education Status,Unknown Education,923
2010,Non-Medi-Cal,Low Birthweight,Maternal Nativity,Foreign-Born,6290
2010,Non-Medi-Cal,Low Birthweight,Maternal Nativity,U.S.-Born,10951
2010,Non-Medi-Cal,Low Birthweight,Maternal Nativity,Unknown Nativity,21
2010,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,African-American,1029
2010,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,46
2010,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Asian,3644
2010,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,69
2010,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Hispanic,5262
2010,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,652
2010,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,429
2010,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,White,6131
2010,Non-Medi-Cal,Low Birthweight,Parity Status,First-Born,7745
2010,Non-Medi-Cal,Low Birthweight,Parity Status,One Previous Birth,5277
2010,Non-Medi-Cal,Low Birthweight,Parity Status,Two or More Previous Births,4207
2010,Non-Medi-Cal,Low Birthweight,Parity Status,Unknown Parity,33
2010,Non-Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Underweight,660
2010,Non-Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Normal Weight,6354
2010,Non-Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,4705
2010,Non-Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Unknown Weight,5543
2010,Non-Medi-Cal,Low Birthweight,Single/Multiple Birth,Multiple Birth,5464
2010,Non-Medi-Cal,Low Birthweight,Single/Multiple Birth,Singleton Birth,11798
2010,Non-Medi-Cal,Low Birthweight,Smoking Status,Maternal Smoker,227
2010,Non-Medi-Cal,Low Birthweight,Smoking Status,Maternal Non-Smoker,14762
2010,Non-Medi-Cal,Low Birthweight,Smoking Status,Unknown Smoking Status,2273
2010,Non-Medi-Cal,Low Birthweight,Substance Use Status,Maternal Substance User,175
2010,Non-Medi-Cal,Low Birthweight,Substance Use Status,Maternal Non-Substance User,14920
2010,Non-Medi-Cal,Low Birthweight,Substance Use Status,Unknown Substance Use Status,2167
2010,Non-Medi-Cal,Normal Birthweight,Diabetes Status,Diabetes Diagnosis,17715
2010,Non-Medi-Cal,Normal Birthweight,Diabetes Status,No Diabetes Diagnosis,194005
2010,Non-Medi-Cal,Normal Birthweight,Diabetes Status,Unknown Diabetes Status,19859
2010,Non-Medi-Cal,Normal Birthweight,Hypertension Status,Hypertension Diagnosis,12770
2010,Non-Medi-Cal,Normal Birthweight,Hypertension Status,No Hypertension Diagnosis,198950
2010,Non-Medi-Cal,Normal Birthweight,Hypertension Status,Unknown Hypertension Status,19859
2010,Non-Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 17 and Younger,3082
2010,Non-Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 18-19,4472
2010,Non-Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 20-24,25416
2010,Non-Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 25-29,62876
2010,Non-Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 30-34,77618
2010,Non-Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 35 and Older,58088
2010,Non-Medi-Cal,Normal Birthweight,Maternal Age Group,Invalid Age,27
2010,Non-Medi-Cal,Normal Birthweight,Maternal Education Status,Less Than High School,16156
2010,Non-Medi-Cal,Normal Birthweight,Maternal Education Status,High School Graduate,40700
2010,Non-Medi-Cal,Normal Birthweight,Maternal Education Status,Some College or Associate's Degree,60370
2010,Non-Medi-Cal,Normal Birthweight,Maternal Education Status,Bachelor's Degree or Higher,105988
2010,Non-Medi-Cal,Normal Birthweight,Maternal Education Status,Unknown Education,8365
2010,Non-Medi-Cal,Normal Birthweight,Maternal Nativity,Foreign-Born,81213
2010,Non-Medi-Cal,Normal Birthweight,Maternal Nativity,U.S.-Born,150236
2010,Non-Medi-Cal,Normal Birthweight,Maternal Nativity,Unknown Nativity,130
2010,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,African-American,7772
2010,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,650
2010,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Asian,42833
2010,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,946
2010,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Hispanic,74476
2010,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,5244
2010,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,5452
2010,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,White,94206
2010,Non-Medi-Cal,Normal Birthweight,Parity Status,First-Born,99538
2010,Non-Medi-Cal,Normal Birthweight,Parity Status,One Previous Birth,79682
2010,Non-Medi-Cal,Normal Birthweight,Parity Status,Two or More Previous Births,52069
2010,Non-Medi-Cal,Normal Birthweight,Parity Status,Unknown Parity,290
2010,Non-Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Underweight,8057
2010,Non-Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Normal Weight,111450
2010,Non-Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,79063
2010,Non-Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Unknown Weight,33009
2010,Non-Medi-Cal,Normal Birthweight,Single/Multiple Birth,Multiple Birth,4792
2010,Non-Medi-Cal,Normal Birthweight,Single/Multiple Birth,Singleton Birth,226787
2010,Non-Medi-Cal,Normal Birthweight,Smoking Status,Maternal Smoker,2030
2010,Non-Medi-Cal,Normal Birthweight,Smoking Status,Maternal Non-Smoker,208248
2010,Non-Medi-Cal,Normal Birthweight,Smoking Status,Unknown Smoking Status,21301
2010,Non-Medi-Cal,Normal Birthweight,Substance Use Status,Maternal Substance User,896
2010,Non-Medi-Cal,Normal Birthweight,Substance Use Status,Maternal Non-Substance User,210824
2010,Non-Medi-Cal,Normal Birthweight,Substance Use Status,Unknown Substance Use Status,19859
2010,Non-Medi-Cal,Unknown Birthweight,Diabetes Status,Diabetes Diagnosis,0
2010,Non-Medi-Cal,Unknown Birthweight,Diabetes Status,No Diabetes Diagnosis,23
2010,Non-Medi-Cal,Unknown Birthweight,Diabetes Status,Unknown Diabetes Status,23
2010,Non-Medi-Cal,Unknown Birthweight,Hypertension Status,Hypertension Diagnosis,0
2010,Non-Medi-Cal,Unknown Birthweight,Hypertension Status,No Hypertension Diagnosis,23
2010,Non-Medi-Cal,Unknown Birthweight,Hypertension Status,Unknown Hypertension Status,23
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 17 and Younger,2
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 18-19,3
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 20-24,10
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 25-29,7
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 30-34,8
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 35 and Older,16
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Invalid Age,0
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Less Than High School,10
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,High School Graduate,10
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Some College or Associate's Degree,8
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Bachelor's Degree or Higher,15
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Unknown Education,3
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Nativity,Foreign-Born,15
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Nativity,U.S.-Born,31
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Nativity,Unknown Nativity,0
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,African-American,3
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,0
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Asian,5
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,0
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hispanic,21
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,3
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,0
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,White,15
2010,Non-Medi-Cal,Unknown Birthweight,Parity Status,First-Born,16
2010,Non-Medi-Cal,Unknown Birthweight,Parity Status,One Previous Birth,14
2010,Non-Medi-Cal,Unknown Birthweight,Parity Status,Two or More Previous Births,16
2010,Non-Medi-Cal,Unknown Birthweight,Parity Status,Unknown Parity,0
2010,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Underweight,0
2010,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Normal Weight,10
2010,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,10
2010,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Unknown Weight,26
2010,Non-Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Multiple Birth,17
2010,Non-Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Singleton Birth,29
2010,Non-Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Smoker,1
2010,Non-Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Non-Smoker,22
2010,Non-Medi-Cal,Unknown Birthweight,Smoking Status,Unknown Smoking Status,23
2010,Non-Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Substance User,0
2010,Non-Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Non-Substance User,23
2010,Non-Medi-Cal,Unknown Birthweight,Substance Use Status,Unknown Substance Use Status,23
2011,Medi-Cal,Low Birthweight,Diabetes Status,Diabetes Diagnosis,1743
2011,Medi-Cal,Low Birthweight,Diabetes Status,No Diabetes Diagnosis,14753
2011,Medi-Cal,Low Birthweight,Diabetes Status,Unknown Diabetes Status,59
2011,Medi-Cal,Low Birthweight,Hypertension Status,Hypertension Diagnosis,3696
2011,Medi-Cal,Low Birthweight,Hypertension Status,No Hypertension Diagnosis,12800
2011,Medi-Cal,Low Birthweight,Hypertension Status,Unknown Hypertension Status,59
2011,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 17 and Younger,691
2011,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 18-19,1518
2011,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 20-24,4721
2011,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 25-29,4193
2011,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 30-34,3036
2011,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 35 and Older,2396
2011,Medi-Cal,Low Birthweight,Maternal Age Group,Invalid Age,0
2011,Medi-Cal,Low Birthweight,Maternal Education Status,Less Than High School,5661
2011,Medi-Cal,Low Birthweight,Maternal Education Status,High School Graduate,5434
2011,Medi-Cal,Low Birthweight,Maternal Education Status,Some College or Associate's Degree,4030
2011,Medi-Cal,Low Birthweight,Maternal Education Status,Bachelor's Degree or Higher,750
2011,Medi-Cal,Low Birthweight,Maternal Education Status,Unknown Education,680
2011,Medi-Cal,Low Birthweight,Maternal Nativity,Foreign-Born,6473
2011,Medi-Cal,Low Birthweight,Maternal Nativity,U.S.-Born,10068
2011,Medi-Cal,Low Birthweight,Maternal Nativity,Unknown Nativity,14
2011,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,African-American,2185
2011,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,63
2011,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Asian,1085
2011,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,76
2011,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Hispanic,10151
2011,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,250
2011,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,358
2011,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,White,2387
2011,Medi-Cal,Low Birthweight,Parity Status,First-Born,6054
2011,Medi-Cal,Low Birthweight,Parity Status,One Previous Birth,4151
2011,Medi-Cal,Low Birthweight,Parity Status,Two or More Previous Births,6332
2011,Medi-Cal,Low Birthweight,Parity Status,Unknown Parity,18
2011,Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Underweight,810
2011,Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Normal Weight,6100
2011,Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,6859
2011,Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Unknown Weight,2786
2011,Medi-Cal,Low Birthweight,Single/Multiple Birth,Multiple Birth,3150
2011,Medi-Cal,Low Birthweight,Single/Multiple Birth,Singleton Birth,13405
2011,Medi-Cal,Low Birthweight,Smoking Status,Maternal Smoker,870
2011,Medi-Cal,Low Birthweight,Smoking Status,Maternal Non-Smoker,15407
2011,Medi-Cal,Low Birthweight,Smoking Status,Unknown Smoking Status,278
2011,Medi-Cal,Low Birthweight,Substance Use Status,Maternal Substance User,733
2011,Medi-Cal,Low Birthweight,Substance Use Status,Maternal Non-Substance User,15763
2011,Medi-Cal,Low Birthweight,Substance Use Status,Unknown Substance Use Status,59
2011,Medi-Cal,Normal Birthweight,Diabetes Status,Diabetes Diagnosis,19854
2011,Medi-Cal,Normal Birthweight,Diabetes Status,No Diabetes Diagnosis,213183
2011,Medi-Cal,Normal Birthweight,Diabetes Status,Unknown Diabetes Status,550
2011,Medi-Cal,Normal Birthweight,Hypertension Status,Hypertension Diagnosis,14831
2011,Medi-Cal,Normal Birthweight,Hypertension Status,No Hypertension Diagnosis,218206
2011,Medi-Cal,Normal Birthweight,Hypertension Status,Unknown Hypertension Status,550
2011,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 17 and Younger,8624
2011,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 18-19,20351
2011,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 20-24,72050
2011,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 25-29,64021
2011,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 30-34,42289
2011,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 35 and Older,26252
2011,Medi-Cal,Normal Birthweight,Maternal Age Group,Invalid Age,0
2011,Medi-Cal,Normal Birthweight,Maternal Education Status,Less Than High School,83175
2011,Medi-Cal,Normal Birthweight,Maternal Education Status,High School Graduate,76990
2011,Medi-Cal,Normal Birthweight,Maternal Education Status,Some College or Associate's Degree,54052
2011,Medi-Cal,Normal Birthweight,Maternal Education Status,Bachelor's Degree or Higher,11001
2011,Medi-Cal,Normal Birthweight,Maternal Education Status,Unknown Education,8369
2011,Medi-Cal,Normal Birthweight,Maternal Nativity,Foreign-Born,106049
2011,Medi-Cal,Normal Birthweight,Maternal Nativity,U.S.-Born,127448
2011,Medi-Cal,Normal Birthweight,Maternal Nativity,Unknown Nativity,90
2011,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,African-American,16180
2011,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,1022
2011,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Asian,13462
2011,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,1124
2011,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Hispanic,160141
2011,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,2757
2011,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,4194
2011,Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,White,34707
2011,Medi-Cal,Normal Birthweight,Parity Status,First-Born,81160
2011,Medi-Cal,Normal Birthweight,Parity Status,One Previous Birth,67522
2011,Medi-Cal,Normal Birthweight,Parity Status,Two or More Previous Births,84790
2011,Medi-Cal,Normal Birthweight,Parity Status,Unknown Parity,115
2011,Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Underweight,7872
2011,Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Normal Weight,92682
2011,Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,118009
2011,Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Unknown Weight,15024
2011,Medi-Cal,Normal Birthweight,Single/Multiple Birth,Multiple Birth,2497
2011,Medi-Cal,Normal Birthweight,Single/Multiple Birth,Singleton Birth,231090
2011,Medi-Cal,Normal Birthweight,Smoking Status,Maternal Smoker,7312
2011,Medi-Cal,Normal Birthweight,Smoking Status,Maternal Non-Smoker,223242
2011,Medi-Cal,Normal Birthweight,Smoking Status,Unknown Smoking Status,3033
2011,Medi-Cal,Normal Birthweight,Substance Use Status,Maternal Substance User,4084
2011,Medi-Cal,Normal Birthweight,Substance Use Status,Maternal Non-Substance User,228953
2011,Medi-Cal,Normal Birthweight,Substance Use Status,Unknown Substance Use Status,550
2011,Medi-Cal,Unknown Birthweight,Diabetes Status,Diabetes Diagnosis,1
2011,Medi-Cal,Unknown Birthweight,Diabetes Status,No Diabetes Diagnosis,14
2011,Medi-Cal,Unknown Birthweight,Diabetes Status,Unknown Diabetes Status,1
2011,Medi-Cal,Unknown Birthweight,Hypertension Status,Hypertension Diagnosis,0
2011,Medi-Cal,Unknown Birthweight,Hypertension Status,No Hypertension Diagnosis,15
2011,Medi-Cal,Unknown Birthweight,Hypertension Status,Unknown Hypertension Status,1
2011,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 17 and Younger,0
2011,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 18-19,1
2011,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 20-24,4
2011,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 25-29,1
2011,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 30-34,6
2011,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 35 and Older,4
2011,Medi-Cal,Unknown Birthweight,Maternal Age Group,Invalid Age,0
2011,Medi-Cal,Unknown Birthweight,Maternal Education Status,Less Than High School,4
2011,Medi-Cal,Unknown Birthweight,Maternal Education Status,High School Graduate,3
2011,Medi-Cal,Unknown Birthweight,Maternal Education Status,Some College or Associate's Degree,6
2011,Medi-Cal,Unknown Birthweight,Maternal Education Status,Bachelor's Degree or Higher,0
2011,Medi-Cal,Unknown Birthweight,Maternal Education Status,Unknown Education,3
2011,Medi-Cal,Unknown Birthweight,Maternal Nativity,Foreign-Born,6
2011,Medi-Cal,Unknown Birthweight,Maternal Nativity,U.S.-Born,10
2011,Medi-Cal,Unknown Birthweight,Maternal Nativity,Unknown Nativity,0
2011,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,African-American,4
2011,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,0
2011,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Asian,2
2011,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,0
2011,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hispanic,5
2011,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,2
2011,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,0
2011,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,White,3
2011,Medi-Cal,Unknown Birthweight,Parity Status,First-Born,9
2011,Medi-Cal,Unknown Birthweight,Parity Status,One Previous Birth,1
2011,Medi-Cal,Unknown Birthweight,Parity Status,Two or More Previous Births,5
2011,Medi-Cal,Unknown Birthweight,Parity Status,Unknown Parity,1
2011,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Underweight,0
2011,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Normal Weight,3
2011,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,9
2011,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Unknown Weight,4
2011,Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Multiple Birth,2
2011,Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Singleton Birth,14
2011,Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Smoker,1
2011,Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Non-Smoker,13
2011,Medi-Cal,Unknown Birthweight,Smoking Status,Unknown Smoking Status,2
2011,Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Substance User,1
2011,Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Non-Substance User,14
2011,Medi-Cal,Unknown Birthweight,Substance Use Status,Unknown Substance Use Status,1
2011,Non-Medi-Cal,Low Birthweight,Diabetes Status,Diabetes Diagnosis,2218
2011,Non-Medi-Cal,Low Birthweight,Diabetes Status,No Diabetes Diagnosis,12761
2011,Non-Medi-Cal,Low Birthweight,Diabetes Status,Unknown Diabetes Status,2023
2011,Non-Medi-Cal,Low Birthweight,Hypertension Status,Hypertension Diagnosis,3772
2011,Non-Medi-Cal,Low Birthweight,Hypertension Status,No Hypertension Diagnosis,11207
2011,Non-Medi-Cal,Low Birthweight,Hypertension Status,Unknown Hypertension Status,2023
2011,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 17 and Younger,258
2011,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 18-19,324
2011,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 20-24,1570
2011,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 25-29,3805
2011,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 30-34,5467
2011,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 35 and Older,5571
2011,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Invalid Age,7
2011,Non-Medi-Cal,Low Birthweight,Maternal Education Status,Less Than High School,1223
2011,Non-Medi-Cal,Low Birthweight,Maternal Education Status,High School Graduate,2735
2011,Non-Medi-Cal,Low Birthweight,Maternal Education Status,Some College or Associate's Degree,4303
2011,Non-Medi-Cal,Low Birthweight,Maternal Education Status,Bachelor's Degree or Higher,7732
2011,Non-Medi-Cal,Low Birthweight,Maternal Education Status,Unknown Education,1009
2011,Non-Medi-Cal,Low Birthweight,Maternal Nativity,Foreign-Born,6300
2011,Non-Medi-Cal,Low Birthweight,Maternal Nativity,U.S.-Born,10688
2011,Non-Medi-Cal,Low Birthweight,Maternal Nativity,Unknown Nativity,14
2011,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,African-American,968
2011,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,42
2011,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Asian,3745
