Calendar Year,Aid Category,Grouper ,Birth Characteristic,Number of Births 
2009,Medically Indigent Child & Minor Consent,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",67
2009,Medically Indigent Child & Minor Consent,Very Preterm Status,Gestation >=32 Weeks,6173
2009,Medically Indigent Child & Minor Consent,Very Preterm Status,Unknown Gestation,198
2009,Medically Indigent Child & Minor Consent,Very Preterm Status,Very Preterm Delivery (<32 Weeks),95
2009,Other,Birthweight Range,Low Birthweight,8
2009,Other,Birthweight Range,Normal Birthweight,116
2009,Other,Birthweight Range,Unknown Birthweight,0
2009,Other,Diabetes Status,Diabetes Diagnosis,2
2009,Other,Diabetes Status,No Diabetes Diagnosis,122
2009,Other,Diabetes Status,Unknown Diabetes Status,0
2009,Other,Hypertension Status,Hypertension Diagnosis,6
2009,Other,Hypertension Status,No Hypertension Diagnosis,118
2009,Other,Hypertension Status,Unknown Hypertension Status,0
2009,Other,Length of Gestation,Normal Gestation (>=37 Weeks),99
2009,Other,Length of Gestation,Preterm Delivery (<37 Weeks),16
2009,Other,Length of Gestation,Unknown Gestation,9
2009,Other,Method of Delivery,Cesarean-Primary,27
2009,Other,Method of Delivery,Cesarean-Repeat,11
2009,Other,Method of Delivery,Vaginal,85
2009,Other,Method of Delivery,Vaginal After Previous Cesarean,1
2009,Other,Prenatal Care Initiation,First Trimester Initiation,81
2009,Other,Prenatal Care Initiation,No Prenatal Care,3
2009,Other,Prenatal Care Initiation,Second Trimester Initiation,26
2009,Other,Prenatal Care Initiation,Third Trimester Initiation,9
2009,Other,Prenatal Care Initiation,Unknown Prenatal Care,5
2009,Other,Pre-Pregnancy Weight,Normal Weight,58
2009,Other,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,48
2009,Other,Pre-Pregnancy Weight,Underweight,3
2009,Other,Pre-Pregnancy Weight,Unknown Weight,15
2009,Other,Smoking Status,Maternal Non-Smoker,114
2009,Other,Smoking Status,Maternal Smoker,5
2009,Other,Smoking Status,Unknown Smoking Status,5
2009,Other,Substance Use Status,Maternal Non-Substance User,123
2009,Other,Substance Use Status,Maternal Substance User,1
2009,Other,Substance Use Status,Unknown Substance Use Status,0
2009,Other,Very Low Birthweight Status,"Birthweight >=1,500g",124
2009,Other,Very Low Birthweight Status,Unknown Birthweight,0
2009,Other,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",0
2009,Other,Very Preterm Status,Gestation >=32 Weeks,111
2009,Other,Very Preterm Status,Unknown Gestation,9
2009,Other,Very Preterm Status,Very Preterm Delivery (<32 Weeks),4
2009,Pregnancy Pathway (Not Undocumented),Birthweight Range,Low Birthweight,2240
2009,Pregnancy Pathway (Not Undocumented),Birthweight Range,Normal Birthweight,33932
2009,Pregnancy Pathway (Not Undocumented),Birthweight Range,Unknown Birthweight,5
2009,Pregnancy Pathway (Not Undocumented),Diabetes Status,Diabetes Diagnosis,2882
2009,Pregnancy Pathway (Not Undocumented),Diabetes Status,No Diabetes Diagnosis,33295
2009,Pregnancy Pathway (Not Undocumented),Diabetes Status,Unknown Diabetes Status,0
2009,Pregnancy Pathway (Not Undocumented),Hypertension Status,Hypertension Diagnosis,2662
2009,Pregnancy Pathway (Not Undocumented),Hypertension Status,No Hypertension Diagnosis,33515
2009,Pregnancy Pathway (Not Undocumented),Hypertension Status,Unknown Hypertension Status,0
2009,Pregnancy Pathway (Not Undocumented),Length of Gestation,Normal Gestation (>=37 Weeks),31776
2009,Pregnancy Pathway (Not Undocumented),Length of Gestation,Preterm Delivery (<37 Weeks),3352
2009,Pregnancy Pathway (Not Undocumented),Length of Gestation,Unknown Gestation,1049
2009,Pregnancy Pathway (Not Undocumented),Method of Delivery,Cesarean-Primary,6955
2009,Pregnancy Pathway (Not Undocumented),Method of Delivery,Cesarean-Repeat,4693
2009,Pregnancy Pathway (Not Undocumented),Method of Delivery,Vaginal,24311
2009,Pregnancy Pathway (Not Undocumented),Method of Delivery,Vaginal After Previous Cesarean,218
2009,Pregnancy Pathway (Not Undocumented),Prenatal Care Initiation,First Trimester Initiation,27914
2009,Pregnancy Pathway (Not Undocumented),Prenatal Care Initiation,No Prenatal Care,97
2009,Pregnancy Pathway (Not Undocumented),Prenatal Care Initiation,Second Trimester Initiation,6495
2009,Pregnancy Pathway (Not Undocumented),Prenatal Care Initiation,Third Trimester Initiation,1063
2009,Pregnancy Pathway (Not Undocumented),Prenatal Care Initiation,Unknown Prenatal Care,608
2009,Pregnancy Pathway (Not Undocumented),Pre-Pregnancy Weight,Normal Weight,15157
2009,Pregnancy Pathway (Not Undocumented),Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,16916
2009,Pregnancy Pathway (Not Undocumented),Pre-Pregnancy Weight,Underweight,1388
2009,Pregnancy Pathway (Not Undocumented),Pre-Pregnancy Weight,Unknown Weight,2716
2009,Pregnancy Pathway (Not Undocumented),Smoking Status,Maternal Non-Smoker,34668
2009,Pregnancy Pathway (Not Undocumented),Smoking Status,Maternal Smoker,932
2009,Pregnancy Pathway (Not Undocumented),Smoking Status,Unknown Smoking Status,577
2009,Pregnancy Pathway (Not Undocumented),Substance Use Status,Maternal Non-Substance User,35868
2009,Pregnancy Pathway (Not Undocumented),Substance Use Status,Maternal Substance User,309
2009,Pregnancy Pathway (Not Undocumented),Substance Use Status,Unknown Substance Use Status,0
2009,Pregnancy Pathway (Not Undocumented),Very Low Birthweight Status,"Birthweight >=1,500g",35766
2009,Pregnancy Pathway (Not Undocumented),Very Low Birthweight Status,Unknown Birthweight,5
2009,Pregnancy Pathway (Not Undocumented),Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",406
2009,Pregnancy Pathway (Not Undocumented),Very Preterm Status,Gestation >=32 Weeks,34620
2009,Pregnancy Pathway (Not Undocumented),Very Preterm Status,Unknown Gestation,1049
2009,Pregnancy Pathway (Not Undocumented),Very Preterm Status,Very Preterm Delivery (<32 Weeks),508
2009,Undocumented,Birthweight Range,Low Birthweight,4926
2009,Undocumented,Birthweight Range,Normal Birthweight,84923
2009,Undocumented,Birthweight Range,Unknown Birthweight,3
2009,Undocumented,Diabetes Status,Diabetes Diagnosis,8703
2009,Undocumented,Diabetes Status,No Diabetes Diagnosis,81149
2009,Undocumented,Diabetes Status,Unknown Diabetes Status,0
2009,Undocumented,Hypertension Status,Hypertension Diagnosis,4676
2009,Undocumented,Hypertension Status,No Hypertension Diagnosis,85176
2009,Undocumented,Hypertension Status,Unknown Hypertension Status,0
2009,Undocumented,Length of Gestation,Normal Gestation (>=37 Weeks),78949
2009,Undocumented,Length of Gestation,Preterm Delivery (<37 Weeks),8642
2009,Undocumented,Length of Gestation,Unknown Gestation,2261
2009,Undocumented,Method of Delivery,Cesarean-Primary,13056
2009,Undocumented,Method of Delivery,Cesarean-Repeat,16518
2009,Undocumented,Method of Delivery,Vaginal,59637
2009,Undocumented,Method of Delivery,Vaginal After Previous Cesarean,641
2009,Undocumented,Prenatal Care Initiation,First Trimester Initiation,71304
2009,Undocumented,Prenatal Care Initiation,No Prenatal Care,325
2009,Undocumented,Prenatal Care Initiation,Second Trimester Initiation,13782
2009,Undocumented,Prenatal Care Initiation,Third Trimester Initiation,3194
2009,Undocumented,Prenatal Care Initiation,Unknown Prenatal Care,1247
2009,Undocumented,Pre-Pregnancy Weight,Normal Weight,34182
2009,Undocumented,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,43123
2009,Undocumented,Pre-Pregnancy Weight,Underweight,2264
2009,Undocumented,Pre-Pregnancy Weight,Unknown Weight,10283
2009,Undocumented,Smoking Status,Maternal Non-Smoker,87142
2009,Undocumented,Smoking Status,Maternal Smoker,318
2009,Undocumented,Smoking Status,Unknown Smoking Status,2392
2009,Undocumented,Substance Use Status,Maternal Non-Substance User,89611
2009,Undocumented,Substance Use Status,Maternal Substance User,241
2009,Undocumented,Substance Use Status,Unknown Substance Use Status,0
2009,Undocumented,Very Low Birthweight Status,"Birthweight >=1,500g",89081
2009,Undocumented,Very Low Birthweight Status,Unknown Birthweight,3
2009,Undocumented,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",768
2009,Undocumented,Very Preterm Status,Gestation >=32 Weeks,86530
2009,Undocumented,Very Preterm Status,Unknown Gestation,2261
2009,Undocumented,Very Preterm Status,Very Preterm Delivery (<32 Weeks),1061
2010,Adoption/Foster Care,Birthweight Range,Low Birthweight,48
2010,Adoption/Foster Care,Birthweight Range,Normal Birthweight,699
2010,Adoption/Foster Care,Birthweight Range,Unknown Birthweight,0
2010,Adoption/Foster Care,Diabetes Status,Diabetes Diagnosis,14
2010,Adoption/Foster Care,Diabetes Status,No Diabetes Diagnosis,732
2010,Adoption/Foster Care,Diabetes Status,Unknown Diabetes Status,1
2010,Adoption/Foster Care,Hypertension Status,Hypertension Diagnosis,58
2010,Adoption/Foster Care,Hypertension Status,No Hypertension Diagnosis,688
2010,Adoption/Foster Care,Hypertension Status,Unknown Hypertension Status,1
2010,Adoption/Foster Care,Length of Gestation,Normal Gestation (>=37 Weeks),638
2010,Adoption/Foster Care,Length of Gestation,Preterm Delivery (<37 Weeks),65
2010,Adoption/Foster Care,Length of Gestation,Unknown Gestation,44
2010,Adoption/Foster Care,Method of Delivery,Cesarean-Primary,161
2010,Adoption/Foster Care,Method of Delivery,Cesarean-Repeat,19
2010,Adoption/Foster Care,Method of Delivery,Vaginal,566
2010,Adoption/Foster Care,Method of Delivery,Vaginal After Previous Cesarean,1
2010,Adoption/Foster Care,Prenatal Care Initiation,First Trimester Initiation,507
2010,Adoption/Foster Care,Prenatal Care Initiation,No Prenatal Care,8
2010,Adoption/Foster Care,Prenatal Care Initiation,Second Trimester Initiation,151
2010,Adoption/Foster Care,Prenatal Care Initiation,Third Trimester Initiation,40
2010,Adoption/Foster Care,Prenatal Care Initiation,Unknown Prenatal Care,41
2010,Adoption/Foster Care,Pre-Pregnancy Weight,Normal Weight,402
2010,Adoption/Foster Care,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,247
2010,Adoption/Foster Care,Pre-Pregnancy Weight,Underweight,40
2010,Adoption/Foster Care,Pre-Pregnancy Weight,Unknown Weight,58
2010,Adoption/Foster Care,Smoking Status,Maternal Non-Smoker,700
2010,Adoption/Foster Care,Smoking Status,Maternal Smoker,34
2010,Adoption/Foster Care,Smoking Status,Unknown Smoking Status,13
2010,Adoption/Foster Care,Substance Use Status,Maternal Non-Substance User,713
2010,Adoption/Foster Care,Substance Use Status,Maternal Substance User,33
2010,Adoption/Foster Care,Substance Use Status,Unknown Substance Use Status,1
2010,Adoption/Foster Care,Very Low Birthweight Status,"Birthweight >=1,500g",737
2010,Adoption/Foster Care,Very Low Birthweight Status,Unknown Birthweight,0
2010,Adoption/Foster Care,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",10
2010,Adoption/Foster Care,Very Preterm Status,Gestation >=32 Weeks,692
2010,Adoption/Foster Care,Very Preterm Status,Unknown Gestation,44
2010,Adoption/Foster Care,Very Preterm Status,Very Preterm Delivery (<32 Weeks),11
2010,Blind/Disabled,Birthweight Range,Low Birthweight,555
2010,Blind/Disabled,Birthweight Range,Normal Birthweight,3638
2010,Blind/Disabled,Birthweight Range,Unknown Birthweight,1
2010,Blind/Disabled,Diabetes Status,Diabetes Diagnosis,404
2010,Blind/Disabled,Diabetes Status,No Diabetes Diagnosis,3782
2010,Blind/Disabled,Diabetes Status,Unknown Diabetes Status,8
2010,Blind/Disabled,Hypertension Status,Hypertension Diagnosis,527
2010,Blind/Disabled,Hypertension Status,No Hypertension Diagnosis,3659
2010,Blind/Disabled,Hypertension Status,Unknown Hypertension Status,8
2010,Blind/Disabled,Length of Gestation,Normal Gestation (>=37 Weeks),3260
2010,Blind/Disabled,Length of Gestation,Preterm Delivery (<37 Weeks),673
2010,Blind/Disabled,Length of Gestation,Unknown Gestation,261
2010,Blind/Disabled,Method of Delivery,Cesarean-Primary,924
2010,Blind/Disabled,Method of Delivery,Cesarean-Repeat,825
2010,Blind/Disabled,Method of Delivery,Vaginal,2423
2010,Blind/Disabled,Method of Delivery,Vaginal After Previous Cesarean,22
2010,Blind/Disabled,Prenatal Care Initiation,First Trimester Initiation,3008
2010,Blind/Disabled,Prenatal Care Initiation,No Prenatal Care,58
2010,Blind/Disabled,Prenatal Care Initiation,Second Trimester Initiation,776
2010,Blind/Disabled,Prenatal Care Initiation,Third Trimester Initiation,158
2010,Blind/Disabled,Prenatal Care Initiation,Unknown Prenatal Care,194
2010,Blind/Disabled,Pre-Pregnancy Weight,Normal Weight,1387
2010,Blind/Disabled,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,2184
2010,Blind/Disabled,Pre-Pregnancy Weight,Underweight,163
2010,Blind/Disabled,Pre-Pregnancy Weight,Unknown Weight,460
2010,Blind/Disabled,Smoking Status,Maternal Non-Smoker,3615
2010,Blind/Disabled,Smoking Status,Maternal Smoker,498
2010,Blind/Disabled,Smoking Status,Unknown Smoking Status,81
2010,Blind/Disabled,Substance Use Status,Maternal Non-Substance User,3907
2010,Blind/Disabled,Substance Use Status,Maternal Substance User,279
2010,Blind/Disabled,Substance Use Status,Unknown Substance Use Status,8
2010,Blind/Disabled,Very Low Birthweight Status,"Birthweight >=1,500g",4082
2010,Blind/Disabled,Very Low Birthweight Status,Unknown Birthweight,1
2010,Blind/Disabled,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",111
2010,Blind/Disabled,Very Preterm Status,Gestation >=32 Weeks,3805
2010,Blind/Disabled,Very Preterm Status,Unknown Gestation,261
2010,Blind/Disabled,Very Preterm Status,Very Preterm Delivery (<32 Weeks),128
2010,Families,Birthweight Range,Low Birthweight,9417
2010,Families,Birthweight Range,Normal Birthweight,116316
2010,Families,Birthweight Range,Unknown Birthweight,11
2010,Families,Diabetes Status,Diabetes Diagnosis,8070
2010,Families,Diabetes Status,No Diabetes Diagnosis,117143
2010,Families,Diabetes Status,Unknown Diabetes Status,531
2010,Families,Hypertension Status,Hypertension Diagnosis,9856
2010,Families,Hypertension Status,No Hypertension Diagnosis,115357
2010,Families,Hypertension Status,Unknown Hypertension Status,531
2010,Families,Length of Gestation,Normal Gestation (>=37 Weeks),107450
2010,Families,Length of Gestation,Preterm Delivery (<37 Weeks),13590
2010,Families,Length of Gestation,Unknown Gestation,4704
2010,Families,Method of Delivery,Cesarean-Primary,21073
2010,Families,Method of Delivery,Cesarean-Repeat,19447
2010,Families,Method of Delivery,Vaginal,84533
2010,Families,Method of Delivery,Vaginal After Previous Cesarean,691
2010,Families,Prenatal Care Initiation,First Trimester Initiation,91053
2010,Families,Prenatal Care Initiation,No Prenatal Care,1096
2010,Families,Prenatal Care Initiation,Second Trimester Initiation,24633
2010,Families,Prenatal Care Initiation,Third Trimester Initiation,5563
2010,Families,Prenatal Care Initiation,Unknown Prenatal Care,3399
2010,Families,Pre-Pregnancy Weight,Normal Weight,48870
2010,Families,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,61668
2010,Families,Pre-Pregnancy Weight,Underweight,4919
2010,Families,Pre-Pregnancy Weight,Unknown Weight,10287
2010,Families,Smoking Status,Maternal Non-Smoker,116678
2010,Families,Smoking Status,Maternal Smoker,7057
2010,Families,Smoking Status,Unknown Smoking Status,2009
2010,Families,Substance Use Status,Maternal Non-Substance User,121589
2010,Families,Substance Use Status,Maternal Substance User,3624
2010,Families,Substance Use Status,Unknown Substance Use Status,531
2010,Families,Very Low Birthweight Status,"Birthweight >=1,500g",124163
2010,Families,Very Low Birthweight Status,Unknown Birthweight,10
2010,Families,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1571
2010,Families,Very Preterm Status,Gestation >=32 Weeks,118872
2010,Families,Very Preterm Status,Unknown Gestation,4704
2010,Families,Very Preterm Status,Very Preterm Delivery (<32 Weeks),2168
2010,Medically Indigent Child & Minor Consent,Birthweight Range,Low Birthweight,388
2010,Medically Indigent Child & Minor Consent,Birthweight Range,Normal Birthweight,5221
2010,Medically Indigent Child & Minor Consent,Birthweight Range,Unknown Birthweight,1
2010,Medically Indigent Child & Minor Consent,Diabetes Status,Diabetes Diagnosis,120
2010,Medically Indigent Child & Minor Consent,Diabetes Status,No Diabetes Diagnosis,5477
2010,Medically Indigent Child & Minor Consent,Diabetes Status,Unknown Diabetes Status,13
2010,Medically Indigent Child & Minor Consent,Hypertension Status,Hypertension Diagnosis,467
2010,Medically Indigent Child & Minor Consent,Hypertension Status,No Hypertension Diagnosis,5130
2010,Medically Indigent Child & Minor Consent,Hypertension Status,Unknown Hypertension Status,13
2010,Medically Indigent Child & Minor Consent,Length of Gestation,Normal Gestation (>=37 Weeks),4896
2010,Medically Indigent Child & Minor Consent,Length of Gestation,Preterm Delivery (<37 Weeks),541
2010,Medically Indigent Child & Minor Consent,Length of Gestation,Unknown Gestation,173
2010,Medically Indigent Child & Minor Consent,Method of Delivery,Cesarean-Primary,1144
2010,Medically Indigent Child & Minor Consent,Method of Delivery,Cesarean-Repeat,75
2010,Medically Indigent Child & Minor Consent,Method of Delivery,Vaginal,4387
2010,Medically Indigent Child & Minor Consent,Method of Delivery,Vaginal After Previous Cesarean,4
2010,Medically Indigent Child & Minor Consent,Prenatal Care Initiation,First Trimester Initiation,3849
2010,Medically Indigent Child & Minor Consent,Prenatal Care Initiation,No Prenatal Care,23
2010,Medically Indigent Child & Minor Consent,Prenatal Care Initiation,Second Trimester Initiation,1309
2010,Medically Indigent Child & Minor Consent,Prenatal Care Initiation,Third Trimester Initiation,313
2010,Medically Indigent Child & Minor Consent,Prenatal Care Initiation,Unknown Prenatal Care,116
2010,Medically Indigent Child & Minor Consent,Pre-Pregnancy Weight,Normal Weight,3044
2010,Medically Indigent Child & Minor Consent,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,1865
2010,Medically Indigent Child & Minor Consent,Pre-Pregnancy Weight,Underweight,378
2010,Medically Indigent Child & Minor Consent,Pre-Pregnancy Weight,Unknown Weight,323
2010,Medically Indigent Child & Minor Consent,Smoking Status,Maternal Non-Smoker,5476
2010,Medically Indigent Child & Minor Consent,Smoking Status,Maternal Smoker,90
2010,Medically Indigent Child & Minor Consent,Smoking Status,Unknown Smoking Status,44
2010,Medically Indigent Child & Minor Consent,Substance Use Status,Maternal Non-Substance User,5556
2010,Medically Indigent Child & Minor Consent,Substance Use Status,Maternal Substance User,41
2010,Medically Indigent Child & Minor Consent,Substance Use Status,Unknown Substance Use Status,13
2010,Medically Indigent Child & Minor Consent,Very Low Birthweight Status,"Birthweight >=1,500g",5539
2010,Medically Indigent Child & Minor Consent,Very Low Birthweight Status,Unknown Birthweight,1
2010,Medically Indigent Child & Minor Consent,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",70
2010,Medically Indigent Child & Minor Consent,Very Preterm Status,Gestation >=32 Weeks,5352
2010,Medically Indigent Child & Minor Consent,Very Preterm Status,Unknown Gestation,173
2010,Medically Indigent Child & Minor Consent,Very Preterm Status,Very Preterm Delivery (<32 Weeks),85
2010,Other,Birthweight Range,Low Birthweight,16
2010,Other,Birthweight Range,Normal Birthweight,189
2010,Other,Birthweight Range,Unknown Birthweight,0
2010,Other,Diabetes Status,Diabetes Diagnosis,6
2010,Other,Diabetes Status,No Diabetes Diagnosis,198
2010,Other,Diabetes Status,Unknown Diabetes Status,1
2010,Other,Hypertension Status,Hypertension Diagnosis,17
2010,Other,Hypertension Status,No Hypertension Diagnosis,187
2010,Other,Hypertension Status,Unknown Hypertension Status,1
2010,Other,Length of Gestation,Normal Gestation (>=37 Weeks),169
2010,Other,Length of Gestation,Preterm Delivery (<37 Weeks),29
2010,Other,Length of Gestation,Unknown Gestation,7
2010,Other,Method of Delivery,Cesarean-Primary,41
2010,Other,Method of Delivery,Cesarean-Repeat,23
2010,Other,Method of Delivery,Vaginal,140
2010,Other,Method of Delivery,Vaginal After Previous Cesarean,1
2010,Other,Prenatal Care Initiation,First Trimester Initiation,145
2010,Other,Prenatal Care Initiation,No Prenatal Care,5
2010,Other,Prenatal Care Initiation,Second Trimester Initiation,36
2010,Other,Prenatal Care Initiation,Third Trimester Initiation,15
2010,Other,Prenatal Care Initiation,Unknown Prenatal Care,4
2010,Other,Pre-Pregnancy Weight,Normal Weight,98
2010,Other,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,76
2010,Other,Pre-Pregnancy Weight,Underweight,11
2010,Other,Pre-Pregnancy Weight,Unknown Weight,20
2010,Other,Smoking Status,Maternal Non-Smoker,193
2010,Other,Smoking Status,Maternal Smoker,9
2010,Other,Smoking Status,Unknown Smoking Status,3
2010,Other,Substance Use Status,Maternal Non-Substance User,202
2010,Other,Substance Use Status,Maternal Substance User,2
2010,Other,Substance Use Status,Unknown Substance Use Status,1
2010,Other,Very Low Birthweight Status,"Birthweight >=1,500g",204
2010,Other,Very Low Birthweight Status,Unknown Birthweight,0
2010,Other,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1
2010,Other,Very Preterm Status,Gestation >=32 Weeks,193
2010,Other,Very Preterm Status,Unknown Gestation,7
2010,Other,Very Preterm Status,Very Preterm Delivery (<32 Weeks),5
2010,Pregnancy Pathway (Not Undocumented),Birthweight Range,Low Birthweight,2295
2010,Pregnancy Pathway (Not Undocumented),Birthweight Range,Normal Birthweight,35159
2010,Pregnancy Pathway (Not Undocumented),Birthweight Range,Unknown Birthweight,3
2010,Pregnancy Pathway (Not Undocumented),Diabetes Status,Diabetes Diagnosis,2935
2010,Pregnancy Pathway (Not Undocumented),Diabetes Status,No Diabetes Diagnosis,34517
2010,Pregnancy Pathway (Not Undocumented),Diabetes Status,Unknown Diabetes Status,5
2010,Pregnancy Pathway (Not Undocumented),Hypertension Status,Hypertension Diagnosis,2819
2010,Pregnancy Pathway (Not Undocumented),Hypertension Status,No Hypertension Diagnosis,34633
2010,Pregnancy Pathway (Not Undocumented),Hypertension Status,Unknown Hypertension Status,5
2010,Pregnancy Pathway (Not Undocumented),Length of Gestation,Normal Gestation (>=37 Weeks),33171
2010,Pregnancy Pathway (Not Undocumented),Length of Gestation,Preterm Delivery (<37 Weeks),3333
2010,Pregnancy Pathway (Not Undocumented),Length of Gestation,Unknown Gestation,953
2010,Pregnancy Pathway (Not Undocumented),Method of Delivery,Cesarean-Primary,7210
2010,Pregnancy Pathway (Not Undocumented),Method of Delivery,Cesarean-Repeat,4744
2010,Pregnancy Pathway (Not Undocumented),Method of Delivery,Vaginal,25288
2010,Pregnancy Pathway (Not Undocumented),Method of Delivery,Vaginal After Previous Cesarean,215
2010,Pregnancy Pathway (Not Undocumented),Prenatal Care Initiation,First Trimester Initiation,29269
2010,Pregnancy Pathway (Not Undocumented),Prenatal Care Initiation,No Prenatal Care,89
2010,Pregnancy Pathway (Not Undocumented),Prenatal Care Initiation,Second Trimester Initiation,6377
2010,Pregnancy Pathway (Not Undocumented),Prenatal Care Initiation,Third Trimester Initiation,1084
2010,Pregnancy Pathway (Not Undocumented),Prenatal Care Initiation,Unknown Prenatal Care,638
2010,Pregnancy Pathway (Not Undocumented),Pre-Pregnancy Weight,Normal Weight,15842
2010,Pregnancy Pathway (Not Undocumented),Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,17827
2010,Pregnancy Pathway (Not Undocumented),Pre-Pregnancy Weight,Underweight,1407
2010,Pregnancy Pathway (Not Undocumented),Pre-Pregnancy Weight,Unknown Weight,2381
2010,Pregnancy Pathway (Not Undocumented),Smoking Status,Maternal Non-Smoker,36273
2010,Pregnancy Pathway (Not Undocumented),Smoking Status,Maternal Smoker,885
2010,Pregnancy Pathway (Not Undocumented),Smoking Status,Unknown Smoking Status,299
2010,Pregnancy Pathway (Not Undocumented),Substance Use Status,Maternal Non-Substance User,37123
2010,Pregnancy Pathway (Not Undocumented),Substance Use Status,Maternal Substance User,329
2010,Pregnancy Pathway (Not Undocumented),Substance Use Status,Unknown Substance Use Status,5
2010,Pregnancy Pathway (Not Undocumented),Very Low Birthweight Status,"Birthweight >=1,500g",37048
2010,Pregnancy Pathway (Not Undocumented),Very Low Birthweight Status,Unknown Birthweight,3
2010,Pregnancy Pathway (Not Undocumented),Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",406
2010,Pregnancy Pathway (Not Undocumented),Very Preterm Status,Gestation >=32 Weeks,35995
2010,Pregnancy Pathway (Not Undocumented),Very Preterm Status,Unknown Gestation,953
2010,Pregnancy Pathway (Not Undocumented),Very Preterm Status,Very Preterm Delivery (<32 Weeks),509
2010,Undocumented,Birthweight Range,Low Birthweight,4376
2010,Undocumented,Birthweight Range,Normal Birthweight,78034
2010,Undocumented,Birthweight Range,Unknown Birthweight,5
2010,Undocumented,Diabetes Status,Diabetes Diagnosis,8292
2010,Undocumented,Diabetes Status,No Diabetes Diagnosis,74123
2010,Undocumented,Diabetes Status,Unknown Diabetes Status,0
2010,Undocumented,Hypertension Status,Hypertension Diagnosis,4642
2010,Undocumented,Hypertension Status,No Hypertension Diagnosis,77773
2010,Undocumented,Hypertension Status,Unknown Hypertension Status,0
2010,Undocumented,Length of Gestation,Normal Gestation (>=37 Weeks),72818
2010,Undocumented,Length of Gestation,Preterm Delivery (<37 Weeks),7587
2010,Undocumented,Length of Gestation,Unknown Gestation,2010
2010,Undocumented,Method of Delivery,Cesarean-Primary,11732
2010,Undocumented,Method of Delivery,Cesarean-Repeat,15431
2010,Undocumented,Method of Delivery,Vaginal,54637
2010,Undocumented,Method of Delivery,Vaginal After Previous Cesarean,615
2010,Undocumented,Prenatal Care Initiation,First Trimester Initiation,65598
2010,Undocumented,Prenatal Care Initiation,No Prenatal Care,253
2010,Undocumented,Prenatal Care Initiation,Second Trimester Initiation,12336
2010,Undocumented,Prenatal Care Initiation,Third Trimester Initiation,2705
2010,Undocumented,Prenatal Care Initiation,Unknown Prenatal Care,1523
2010,Undocumented,Pre-Pregnancy Weight,Normal Weight,32155
2010,Undocumented,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,41324
2010,Undocumented,Pre-Pregnancy Weight,Underweight,1986
2010,Undocumented,Pre-Pregnancy Weight,Unknown Weight,6950
2010,Undocumented,Smoking Status,Maternal Non-Smoker,81380
2010,Undocumented,Smoking Status,Maternal Smoker,269
2010,Undocumented,Smoking Status,Unknown Smoking Status,766
2010,Undocumented,Substance Use Status,Maternal Non-Substance User,82225
2010,Undocumented,Substance Use Status,Maternal Substance User,190
2010,Undocumented,Substance Use Status,Unknown Substance Use Status,0
2010,Undocumented,Very Low Birthweight Status,"Birthweight >=1,500g",81741
2010,Undocumented,Very Low Birthweight Status,Unknown Birthweight,5
2010,Undocumented,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",669
2010,Undocumented,Very Preterm Status,Gestation >=32 Weeks,79445
2010,Undocumented,Very Preterm Status,Unknown Gestation,2010
2010,Undocumented,Very Preterm Status,Very Preterm Delivery (<32 Weeks),960
2011,Adoption/Foster Care,Birthweight Range,Low Birthweight,53
2011,Adoption/Foster Care,Birthweight Range,Normal Birthweight,537
2011,Adoption/Foster Care,Birthweight Range,Unknown Birthweight,0
2011,Adoption/Foster Care,Diabetes Status,Diabetes Diagnosis,5
2011,Adoption/Foster Care,Diabetes Status,No Diabetes Diagnosis,585
2011,Adoption/Foster Care,Diabetes Status,Unknown Diabetes Status,0
2011,Adoption/Foster Care,Hypertension Status,Hypertension Diagnosis,61
2011,Adoption/Foster Care,Hypertension Status,No Hypertension Diagnosis,529
2011,Adoption/Foster Care,Hypertension Status,Unknown Hypertension Status,0
2011,Adoption/Foster Care,Length of Gestation,Normal Gestation (>=37 Weeks),496
2011,Adoption/Foster Care,Length of Gestation,Preterm Delivery (<37 Weeks),63
2011,Adoption/Foster Care,Length of Gestation,Unknown Gestation,31
2011,Adoption/Foster Care,Method of Delivery,Cesarean-Primary,118
