Calendar Year,Payer,Very Preterm Status,Grouper,Birth Characteristic, Number of Births 
2010,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Two or More Race Categories,139
2010,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,White,1310
2010,Medi-Cal,Unknown Gestation,Parity Status,First-Born,2485
2010,Medi-Cal,Unknown Gestation,Parity Status,One Previous Birth,2381
2010,Medi-Cal,Unknown Gestation,Parity Status,Two or More Previous Births,3179
2010,Medi-Cal,Unknown Gestation,Parity Status,Unknown Parity,107
2010,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Normal Weight,2529
2010,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Obese/Extremely Obese,1828
2010,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Overweight,1714
2010,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Underweight,275
2010,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Unknown Weight,1806
2010,Medi-Cal,Unknown Gestation,Single/Multiple Birth,Multiple Birth,164
2010,Medi-Cal,Unknown Gestation,Single/Multiple Birth,Singleton Birth,7988
2010,Medi-Cal,Unknown Gestation,Smoking Status,Maternal Non-Smoker,7309
2010,Medi-Cal,Unknown Gestation,Smoking Status,Maternal Smoker,417
2010,Medi-Cal,Unknown Gestation,Smoking Status,Unknown Smoking Status,426
2010,Medi-Cal,Unknown Gestation,Substance Use Status,Maternal Non-Substance User,7814
2010,Medi-Cal,Unknown Gestation,Substance Use Status,Maternal Substance User,308
2010,Medi-Cal,Unknown Gestation,Substance Use Status,Unknown Substance Use Status,30
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Diabetes Status,Diabetes Diagnosis,378
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Diabetes Status,No Diabetes Diagnosis,3474
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Diabetes Status,Unknown Diabetes Status,14
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Hypertension Status,Hypertension Diagnosis,752
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Hypertension Status,No Hypertension Diagnosis,3100
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Hypertension Status,Unknown Hypertension Status,14
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 17 and Younger,209
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 18-19,369
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 20-24,1047
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 25-29,928
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 30-34,750
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 35 and Older,563
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Invalid Age,0
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Bachelor's Degree or Higher,133
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,High School Graduate,1219
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Less Than High School,1458
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Some College or Associate's Degree,910
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Unknown Education,146
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Nativity,Foreign-Born,1464
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Nativity,U.S.-Born,2397
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Nativity,Unknown Nativity,5
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,African-American,557
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,American Indian/Alaska Native,14
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Asian,158
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Hawaiian/Pacific Islander,31
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Hispanic,2448
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Other/Unknown Race,60
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Two or More Race Categories,83
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,White,515
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,First-Born,1321
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,One Previous Birth,963
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,Two or More Previous Births,1577
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,Unknown Parity,5
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Normal Weight,1223
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Obese/Extremely Obese,959
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Overweight,870
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Underweight,133
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Unknown Weight,681
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Single/Multiple Birth,Multiple Birth,641
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Single/Multiple Birth,Singleton Birth,3225
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Smoking Status,Maternal Non-Smoker,3597
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Smoking Status,Maternal Smoker,195
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Smoking Status,Unknown Smoking Status,74
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Substance Use Status,Maternal Non-Substance User,3682
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Substance Use Status,Maternal Substance User,170
2010,Medi-Cal,Very Preterm Delivery (<32 Weeks),Substance Use Status,Unknown Substance Use Status,14
2010,Non-Medi-Cal,Gestation >=32 Weeks,Diabetes Status,Diabetes Diagnosis,18750
2010,Non-Medi-Cal,Gestation >=32 Weeks,Diabetes Status,No Diabetes Diagnosis,199058
2010,Non-Medi-Cal,Gestation >=32 Weeks,Diabetes Status,Unknown Diabetes Status,20816
2010,Non-Medi-Cal,Gestation >=32 Weeks,Hypertension Status,Hypertension Diagnosis,15382
2010,Non-Medi-Cal,Gestation >=32 Weeks,Hypertension Status,No Hypertension Diagnosis,202426
2010,Non-Medi-Cal,Gestation >=32 Weeks,Hypertension Status,Unknown Hypertension Status,20816
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 17 and Younger,3115
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 18-19,4547
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 20-24,25889
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 25-29,63971
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 30-34,79955
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 35 and Older,61129
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Invalid Age,18
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Bachelor's Degree or Higher,110278
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,High School Graduate,41437
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Less Than High School,16449
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Some College or Associate's Degree,61935
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Unknown Education,8525
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Nativity,Foreign-Born,84191
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Nativity,U.S.-Born,154321
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Nativity,Unknown Nativity,112
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,African-American,8289
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,American Indian/Alaska Native,663
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Asian,45077
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,974
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Hispanic,75803
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Other/Unknown Race,5368
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Two or More Race Categories,5668
2010,Non-Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,White,96782
2010,Non-Medi-Cal,Gestation >=32 Weeks,Parity Status,First-Born,103419
2010,Non-Medi-Cal,Gestation >=32 Weeks,Parity Status,One Previous Birth,81746
2010,Non-Medi-Cal,Gestation >=32 Weeks,Parity Status,Two or More Previous Births,53371
2010,Non-Medi-Cal,Gestation >=32 Weeks,Parity Status,Unknown Parity,88
2010,Non-Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Normal Weight,114379
2010,Non-Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Obese/Extremely Obese,32952
2010,Non-Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Overweight,47553
2010,Non-Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Underweight,8447
2010,Non-Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Unknown Weight,35293
2010,Non-Medi-Cal,Gestation >=32 Weeks,Single/Multiple Birth,Multiple Birth,8911
2010,Non-Medi-Cal,Gestation >=32 Weeks,Single/Multiple Birth,Singleton Birth,229713
2010,Non-Medi-Cal,Gestation >=32 Weeks,Smoking Status,Maternal Non-Smoker,214572
2010,Non-Medi-Cal,Gestation >=32 Weeks,Smoking Status,Maternal Smoker,2088
2010,Non-Medi-Cal,Gestation >=32 Weeks,Smoking Status,Unknown Smoking Status,21964
2010,Non-Medi-Cal,Gestation >=32 Weeks,Substance Use Status,Maternal Non-Substance User,216852
2010,Non-Medi-Cal,Gestation >=32 Weeks,Substance Use Status,Maternal Substance User,956
2010,Non-Medi-Cal,Gestation >=32 Weeks,Substance Use Status,Unknown Substance Use Status,20816
2010,Non-Medi-Cal,Unknown Gestation,Diabetes Status,Diabetes Diagnosis,605
2010,Non-Medi-Cal,Unknown Gestation,Diabetes Status,No Diabetes Diagnosis,5615
2010,Non-Medi-Cal,Unknown Gestation,Diabetes Status,Unknown Diabetes Status,638
2010,Non-Medi-Cal,Unknown Gestation,Hypertension Status,Hypertension Diagnosis,500
2010,Non-Medi-Cal,Unknown Gestation,Hypertension Status,No Hypertension Diagnosis,5720
2010,Non-Medi-Cal,Unknown Gestation,Hypertension Status,Unknown Hypertension Status,638
2010,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 17 and Younger,176
2010,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 18-19,190
2010,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 20-24,909
2010,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 25-29,2004
2010,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 30-34,2027
2010,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 35 and Older,1537
2010,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Invalid Age,15
2010,Non-Medi-Cal,Unknown Gestation,Maternal Education Status,Bachelor's Degree or Higher,2258
2010,Non-Medi-Cal,Unknown Gestation,Maternal Education Status,High School Graduate,1462
2010,Non-Medi-Cal,Unknown Gestation,Maternal Education Status,Less Than High School,723
2010,Non-Medi-Cal,Unknown Gestation,Maternal Education Status,Some College or Associate's Degree,1861
2010,Non-Medi-Cal,Unknown Gestation,Maternal Education Status,Unknown Education,554
2010,Non-Medi-Cal,Unknown Gestation,Maternal Nativity,Foreign-Born,2194
2010,Non-Medi-Cal,Unknown Gestation,Maternal Nativity,U.S.-Born,4631
2010,Non-Medi-Cal,Unknown Gestation,Maternal Nativity,Unknown Nativity,33
2010,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,African-American,276
2010,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,American Indian/Alaska Native,16
2010,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Asian,910
2010,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,23
2010,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Hispanic,2717
2010,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Other/Unknown Race,389
2010,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Two or More Race Categories,133
2010,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,White,2394
2010,Non-Medi-Cal,Unknown Gestation,Parity Status,First-Born,2405
2010,Non-Medi-Cal,Unknown Gestation,Parity Status,One Previous Birth,2238
2010,Non-Medi-Cal,Unknown Gestation,Parity Status,Two or More Previous Births,1981
2010,Non-Medi-Cal,Unknown Gestation,Parity Status,Unknown Parity,234
2010,Non-Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Normal Weight,2376
2010,Non-Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Obese/Extremely Obese,1026
2010,Non-Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Overweight,1212
2010,Non-Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Underweight,190
2010,Non-Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Unknown Weight,2054
2010,Non-Medi-Cal,Unknown Gestation,Single/Multiple Birth,Multiple Birth,351
2010,Non-Medi-Cal,Unknown Gestation,Single/Multiple Birth,Singleton Birth,6507
2010,Non-Medi-Cal,Unknown Gestation,Smoking Status,Maternal Non-Smoker,5727
2010,Non-Medi-Cal,Unknown Gestation,Smoking Status,Maternal Smoker,107
2010,Non-Medi-Cal,Unknown Gestation,Smoking Status,Unknown Smoking Status,1024
2010,Non-Medi-Cal,Unknown Gestation,Substance Use Status,Maternal Non-Substance User,6140
2010,Non-Medi-Cal,Unknown Gestation,Substance Use Status,Maternal Substance User,80
2010,Non-Medi-Cal,Unknown Gestation,Substance Use Status,Unknown Substance Use Status,638
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Diabetes Status,Diabetes Diagnosis,361
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Diabetes Status,No Diabetes Diagnosis,2449
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Diabetes Status,Unknown Diabetes Status,595
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Hypertension Status,Hypertension Diagnosis,610
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Hypertension Status,No Hypertension Diagnosis,2200
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Hypertension Status,Unknown Hypertension Status,595
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 17 and Younger,82
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 18-19,116
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 20-24,403
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 25-29,785
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 30-34,1021
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Ages 35 and Older,996
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Age Group,Invalid Age,2
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Bachelor's Degree or Higher,1203
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,High School Graduate,666
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Less Than High School,374
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Some College or Associate's Degree,950
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Education Status,Unknown Education,212
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Nativity,Foreign-Born,1133
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Nativity,U.S.-Born,2266
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Nativity,Unknown Nativity,6
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,African-American,239
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,American Indian/Alaska Native,17
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Asian,495
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Hawaiian/Pacific Islander,18
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Hispanic,1239
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Other/Unknown Race,142
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Two or More Race Categories,80
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,White,1175
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,First-Born,1475
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,One Previous Birth,989
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,Two or More Previous Births,940
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,Unknown Parity,1
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Normal Weight,1059
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Obese/Extremely Obese,526
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Overweight,509
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Underweight,80
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Unknown Weight,1231
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Single/Multiple Birth,Multiple Birth,1011
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Single/Multiple Birth,Singleton Birth,2394
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Smoking Status,Maternal Non-Smoker,2733
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Smoking Status,Maternal Smoker,63
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Smoking Status,Unknown Smoking Status,609
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Substance Use Status,Maternal Non-Substance User,2775
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Substance Use Status,Maternal Substance User,35
2010,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Substance Use Status,Unknown Substance Use Status,595
2011,Medi-Cal,Gestation >=32 Weeks,Diabetes Status,Diabetes Diagnosis,20527
2011,Medi-Cal,Gestation >=32 Weeks,Diabetes Status,No Diabetes Diagnosis,217471
2011,Medi-Cal,Gestation >=32 Weeks,Diabetes Status,Unknown Diabetes Status,567
2011,Medi-Cal,Gestation >=32 Weeks,Hypertension Status,Hypertension Diagnosis,17184
2011,Medi-Cal,Gestation >=32 Weeks,Hypertension Status,No Hypertension Diagnosis,220814
2011,Medi-Cal,Gestation >=32 Weeks,Hypertension Status,Unknown Hypertension Status,567
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 17 and Younger,8801
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 18-19,20757
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 20-24,73167
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 25-29,65180
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 30-34,43362
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 35 and Older,27298
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Invalid Age,0
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Bachelor's Degree or Higher,11372
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,High School Graduate,78551
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Less Than High School,84695
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Some College or Associate's Degree,55431
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Unknown Education,8516
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Nativity,Foreign-Born,108306
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Nativity,U.S.-Born,130168
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Nativity,Unknown Nativity,91
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,African-American,17146
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,American Indian/Alaska Native,1022
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Asian,14019
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,1138
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Hispanic,162729
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Other/Unknown Race,2842
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,Two or More Race Categories,4319
2011,Medi-Cal,Gestation >=32 Weeks,Maternal Race/Ethnicity,White,35350
2011,Medi-Cal,Gestation >=32 Weeks,Parity Status,First-Born,83570
2011,Medi-Cal,Gestation >=32 Weeks,Parity Status,One Previous Birth,68405
2011,Medi-Cal,Gestation >=32 Weeks,Parity Status,Two or More Previous Births,86503
2011,Medi-Cal,Gestation >=32 Weeks,Parity Status,Unknown Parity,87
2011,Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Normal Weight,95045
2011,Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Obese/Extremely Obese,57015
2011,Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Overweight,62608
2011,Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Underweight,8329
2011,Medi-Cal,Gestation >=32 Weeks,Pre-Pregnancy Weight,Unknown Weight,15568
2011,Medi-Cal,Gestation >=32 Weeks,Single/Multiple Birth,Multiple Birth,4905
2011,Medi-Cal,Gestation >=32 Weeks,Single/Multiple Birth,Singleton Birth,233660
2011,Medi-Cal,Gestation >=32 Weeks,Smoking Status,Maternal Non-Smoker,227994
2011,Medi-Cal,Gestation >=32 Weeks,Smoking Status,Maternal Smoker,7629
2011,Medi-Cal,Gestation >=32 Weeks,Smoking Status,Unknown Smoking Status,2942
2011,Medi-Cal,Gestation >=32 Weeks,Substance Use Status,Maternal Non-Substance User,233667
2011,Medi-Cal,Gestation >=32 Weeks,Substance Use Status,Maternal Substance User,4331
2011,Medi-Cal,Gestation >=32 Weeks,Substance Use Status,Unknown Substance Use Status,567
2011,Medi-Cal,Unknown Gestation,Diabetes Status,Diabetes Diagnosis,658
2011,Medi-Cal,Unknown Gestation,Diabetes Status,No Diabetes Diagnosis,7106
2011,Medi-Cal,Unknown Gestation,Diabetes Status,Unknown Diabetes Status,27
2011,Medi-Cal,Unknown Gestation,Hypertension Status,Hypertension Diagnosis,641
2011,Medi-Cal,Unknown Gestation,Hypertension Status,No Hypertension Diagnosis,7123
2011,Medi-Cal,Unknown Gestation,Hypertension Status,Unknown Hypertension Status,27
2011,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 17 and Younger,330
2011,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 18-19,778
2011,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 20-24,2546
2011,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 25-29,2080
2011,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 30-34,1284
2011,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 35 and Older,773
2011,Medi-Cal,Unknown Gestation,Maternal Age Group,Invalid Age,0
2011,Medi-Cal,Unknown Gestation,Maternal Education Status,Bachelor's Degree or Higher,217
2011,Medi-Cal,Unknown Gestation,Maternal Education Status,High School Graduate,2614
2011,Medi-Cal,Unknown Gestation,Maternal Education Status,Less Than High School,2800
2011,Medi-Cal,Unknown Gestation,Maternal Education Status,Some College or Associate's Degree,1770
2011,Medi-Cal,Unknown Gestation,Maternal Education Status,Unknown Education,390
2011,Medi-Cal,Unknown Gestation,Maternal Nativity,Foreign-Born,2814
2011,Medi-Cal,Unknown Gestation,Maternal Nativity,U.S.-Born,4967
2011,Medi-Cal,Unknown Gestation,Maternal Nativity,Unknown Nativity,10
2011,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,African-American,715
2011,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,American Indian/Alaska Native,52
2011,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Asian,346
2011,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,36
2011,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Hispanic,5170
2011,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Other/Unknown Race,111
2011,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Two or More Race Categories,146
2011,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,White,1215
2011,Medi-Cal,Unknown Gestation,Parity Status,First-Born,2273
2011,Medi-Cal,Unknown Gestation,Parity Status,One Previous Birth,2344
2011,Medi-Cal,Unknown Gestation,Parity Status,Two or More Previous Births,3131
2011,Medi-Cal,Unknown Gestation,Parity Status,Unknown Parity,43
2011,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Normal Weight,2471
2011,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Obese/Extremely Obese,1684
2011,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Overweight,1714
2011,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Underweight,233
2011,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Unknown Weight,1689
2011,Medi-Cal,Unknown Gestation,Single/Multiple Birth,Multiple Birth,161
2011,Medi-Cal,Unknown Gestation,Single/Multiple Birth,Singleton Birth,7630
2011,Medi-Cal,Unknown Gestation,Smoking Status,Maternal Non-Smoker,7131
2011,Medi-Cal,Unknown Gestation,Smoking Status,Maternal Smoker,360
2011,Medi-Cal,Unknown Gestation,Smoking Status,Unknown Smoking Status,300
2011,Medi-Cal,Unknown Gestation,Substance Use Status,Maternal Non-Substance User,7455
2011,Medi-Cal,Unknown Gestation,Substance Use Status,Maternal Substance User,309
2011,Medi-Cal,Unknown Gestation,Substance Use Status,Unknown Substance Use Status,27
