Calendar Year,Payer,Maternal Race/Ethnicity,Grouper,Birth Characteristic, Number of Births 
2009,Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Non-Substance User,15018
2009,Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Substance User,91
2009,Medi-Cal,Asian/Pacific Islander,Substance Use Status,Unknown Substance Use Status,0
2009,Medi-Cal,Hispanic,Diabetes Status,Diabetes Diagnosis,14597
2009,Medi-Cal,Hispanic,Diabetes Status,No Diabetes Diagnosis,164899
2009,Medi-Cal,Hispanic,Diabetes Status,Unknown Diabetes Status,0
2009,Medi-Cal,Hispanic,Hypertension Status,Hypertension Diagnosis,11175
2009,Medi-Cal,Hispanic,Hypertension Status,No Hypertension Diagnosis,168321
2009,Medi-Cal,Hispanic,Hypertension Status,Unknown Hypertension Status,0
2009,Medi-Cal,Hispanic,Smoking Status,Maternal Non-Smoker,173535
2009,Medi-Cal,Hispanic,Smoking Status,Maternal Smoker,1754
2009,Medi-Cal,Hispanic,Smoking Status,Unknown Smoking Status,4207
2009,Medi-Cal,Hispanic,Substance Use Status,Maternal Non-Substance User,177974
2009,Medi-Cal,Hispanic,Substance Use Status,Maternal Substance User,1522
2009,Medi-Cal,Hispanic,Substance Use Status,Unknown Substance Use Status,0
2009,Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Diabetes Diagnosis,429
2009,Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,No Diabetes Diagnosis,6630
2009,Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Unknown Diabetes Status,0
2009,Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Hypertension Diagnosis,568
2009,Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,No Hypertension Diagnosis,6491
2009,Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Unknown Hypertension Status,0
2009,Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Non-Smoker,6374
2009,Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Smoker,545
2009,Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Unknown Smoking Status,140
2009,Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Non-Substance User,6806
2009,Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Substance User,253
2009,Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Unknown Substance Use Status,0
2009,Medi-Cal,White,Diabetes Status,Diabetes Diagnosis,1968
2009,Medi-Cal,White,Diabetes Status,No Diabetes Diagnosis,33494
2009,Medi-Cal,White,Diabetes Status,Unknown Diabetes Status,0
2009,Medi-Cal,White,Hypertension Status,Hypertension Diagnosis,2670
2009,Medi-Cal,White,Hypertension Status,No Hypertension Diagnosis,32792
2009,Medi-Cal,White,Hypertension Status,Unknown Hypertension Status,0
2009,Medi-Cal,White,Smoking Status,Maternal Non-Smoker,29853
2009,Medi-Cal,White,Smoking Status,Maternal Smoker,4928
2009,Medi-Cal,White,Smoking Status,Unknown Smoking Status,681
2009,Medi-Cal,White,Substance Use Status,Maternal Non-Substance User,33911
2009,Medi-Cal,White,Substance Use Status,Maternal Substance User,1551
2009,Medi-Cal,White,Substance Use Status,Unknown Substance Use Status,0
2009,Non-Medi-Cal,African-American,Diabetes Status,Diabetes Diagnosis,604
2009,Non-Medi-Cal,African-American,Diabetes Status,No Diabetes Diagnosis,7564
2009,Non-Medi-Cal,African-American,Diabetes Status,Unknown Diabetes Status,1770
2009,Non-Medi-Cal,African-American,Hypertension Status,Hypertension Diagnosis,1002
2009,Non-Medi-Cal,African-American,Hypertension Status,No Hypertension Diagnosis,7166
2009,Non-Medi-Cal,African-American,Hypertension Status,Unknown Hypertension Status,1770
2009,Non-Medi-Cal,African-American,Smoking Status,Maternal Non-Smoker,7912
2009,Non-Medi-Cal,African-American,Smoking Status,Maternal Smoker,143
2009,Non-Medi-Cal,African-American,Smoking Status,Unknown Smoking Status,1883
2009,Non-Medi-Cal,African-American,Substance Use Status,Maternal Non-Substance User,8050
2009,Non-Medi-Cal,African-American,Substance Use Status,Maternal Substance User,118
2009,Non-Medi-Cal,African-American,Substance Use Status,Unknown Substance Use Status,1770
2009,Non-Medi-Cal,American Indian/Alaska Native,Diabetes Status,Diabetes Diagnosis,60
2009,Non-Medi-Cal,American Indian/Alaska Native,Diabetes Status,No Diabetes Diagnosis,597
2009,Non-Medi-Cal,American Indian/Alaska Native,Diabetes Status,Unknown Diabetes Status,141
2009,Non-Medi-Cal,American Indian/Alaska Native,Hypertension Status,Hypertension Diagnosis,58
2009,Non-Medi-Cal,American Indian/Alaska Native,Hypertension Status,No Hypertension Diagnosis,599
2009,Non-Medi-Cal,American Indian/Alaska Native,Hypertension Status,Unknown Hypertension Status,141
2009,Non-Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Non-Smoker,615
2009,Non-Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Smoker,28
2009,Non-Medi-Cal,American Indian/Alaska Native,Smoking Status,Unknown Smoking Status,155
2009,Non-Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Non-Substance User,646
2009,Non-Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Substance User,11
2009,Non-Medi-Cal,American Indian/Alaska Native,Substance Use Status,Unknown Substance Use Status,141
2009,Non-Medi-Cal,Asian/Pacific Islander,Diabetes Status,Diabetes Diagnosis,6313
2009,Non-Medi-Cal,Asian/Pacific Islander,Diabetes Status,No Diabetes Diagnosis,40631
2009,Non-Medi-Cal,Asian/Pacific Islander,Diabetes Status,Unknown Diabetes Status,2906
2009,Non-Medi-Cal,Asian/Pacific Islander,Hypertension Status,Hypertension Diagnosis,2756
2009,Non-Medi-Cal,Asian/Pacific Islander,Hypertension Status,No Hypertension Diagnosis,44188
2009,Non-Medi-Cal,Asian/Pacific Islander,Hypertension Status,Unknown Hypertension Status,2906
2009,Non-Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Non-Smoker,46351
2009,Non-Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Smoker,213
2009,Non-Medi-Cal,Asian/Pacific Islander,Smoking Status,Unknown Smoking Status,3286
2009,Non-Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Non-Substance User,46904
2009,Non-Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Substance User,40
2009,Non-Medi-Cal,Asian/Pacific Islander,Substance Use Status,Unknown Substance Use Status,2906
2009,Non-Medi-Cal,Hispanic,Diabetes Status,Diabetes Diagnosis,7327
2009,Non-Medi-Cal,Hispanic,Diabetes Status,No Diabetes Diagnosis,71039
2009,Non-Medi-Cal,Hispanic,Diabetes Status,Unknown Diabetes Status,10798
2009,Non-Medi-Cal,Hispanic,Hypertension Status,Hypertension Diagnosis,5467
2009,Non-Medi-Cal,Hispanic,Hypertension Status,No Hypertension Diagnosis,72899
2009,Non-Medi-Cal,Hispanic,Hypertension Status,Unknown Hypertension Status,10798
2009,Non-Medi-Cal,Hispanic,Smoking Status,Maternal Non-Smoker,76716
2009,Non-Medi-Cal,Hispanic,Smoking Status,Maternal Smoker,425
2009,Non-Medi-Cal,Hispanic,Smoking Status,Unknown Smoking Status,12023
2009,Non-Medi-Cal,Hispanic,Substance Use Status,Maternal Non-Substance User,77970
2009,Non-Medi-Cal,Hispanic,Substance Use Status,Maternal Substance User,396
2009,Non-Medi-Cal,Hispanic,Substance Use Status,Unknown Substance Use Status,10798
2009,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Diabetes Diagnosis,855
2009,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,No Diabetes Diagnosis,9411
2009,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Unknown Diabetes Status,2001
2009,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Hypertension Diagnosis,841
2009,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,No Hypertension Diagnosis,9425
2009,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Unknown Hypertension Status,2001
2009,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Non-Smoker,9907
2009,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Smoker,155
2009,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Unknown Smoking Status,2205
2009,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Non-Substance User,10200
2009,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Substance User,66
2009,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Unknown Substance Use Status,2001
2009,Non-Medi-Cal,White,Diabetes Status,Diabetes Diagnosis,5495
2009,Non-Medi-Cal,White,Diabetes Status,No Diabetes Diagnosis,87380
2009,Non-Medi-Cal,White,Diabetes Status,Unknown Diabetes Status,9904
2009,Non-Medi-Cal,White,Hypertension Status,Hypertension Diagnosis,6815
2009,Non-Medi-Cal,White,Hypertension Status,No Hypertension Diagnosis,86060
2009,Non-Medi-Cal,White,Hypertension Status,Unknown Hypertension Status,9904
2009,Non-Medi-Cal,White,Smoking Status,Maternal Non-Smoker,90456
2009,Non-Medi-Cal,White,Smoking Status,Maternal Smoker,1504
2009,Non-Medi-Cal,White,Smoking Status,Unknown Smoking Status,10819
2009,Non-Medi-Cal,White,Substance Use Status,Maternal Non-Substance User,92413
2009,Non-Medi-Cal,White,Substance Use Status,Maternal Substance User,462
2009,Non-Medi-Cal,White,Substance Use Status,Unknown Substance Use Status,9904
2010,Medi-Cal,African-American,Diabetes Status,Diabetes Diagnosis,983
2010,Medi-Cal,African-American,Diabetes Status,No Diabetes Diagnosis,17661
2010,Medi-Cal,African-American,Diabetes Status,Unknown Diabetes Status,75
2010,Medi-Cal,African-American,Hypertension Status,Hypertension Diagnosis,2223
2010,Medi-Cal,African-American,Hypertension Status,No Hypertension Diagnosis,16421
2010,Medi-Cal,African-American,Hypertension Status,Unknown Hypertension Status,75
2010,Medi-Cal,African-American,Smoking Status,Maternal Non-Smoker,17226
2010,Medi-Cal,African-American,Smoking Status,Maternal Smoker,1045
2010,Medi-Cal,African-American,Smoking Status,Unknown Smoking Status,448
2010,Medi-Cal,African-American,Substance Use Status,Maternal Non-Substance User,17910
2010,Medi-Cal,African-American,Substance Use Status,Maternal Substance User,734
2010,Medi-Cal,African-American,Substance Use Status,Unknown Substance Use Status,75
2010,Medi-Cal,American Indian/Alaska Native,Diabetes Status,Diabetes Diagnosis,124
2010,Medi-Cal,American Indian/Alaska Native,Diabetes Status,No Diabetes Diagnosis,1032
2010,Medi-Cal,American Indian/Alaska Native,Diabetes Status,Unknown Diabetes Status,3
2010,Medi-Cal,American Indian/Alaska Native,Hypertension Status,Hypertension Diagnosis,129
2010,Medi-Cal,American Indian/Alaska Native,Hypertension Status,No Hypertension Diagnosis,1027
2010,Medi-Cal,American Indian/Alaska Native,Hypertension Status,Unknown Hypertension Status,3
2010,Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Non-Smoker,972
2010,Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Smoker,165
2010,Medi-Cal,American Indian/Alaska Native,Smoking Status,Unknown Smoking Status,22
2010,Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Non-Substance User,1056
2010,Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Substance User,100
2010,Medi-Cal,American Indian/Alaska Native,Substance Use Status,Unknown Substance Use Status,3
2010,Medi-Cal,Asian/Pacific Islander,Diabetes Status,Diabetes Diagnosis,1654
2010,Medi-Cal,Asian/Pacific Islander,Diabetes Status,No Diabetes Diagnosis,13464
2010,Medi-Cal,Asian/Pacific Islander,Diabetes Status,Unknown Diabetes Status,42
2010,Medi-Cal,Asian/Pacific Islander,Hypertension Status,Hypertension Diagnosis,934
2010,Medi-Cal,Asian/Pacific Islander,Hypertension Status,No Hypertension Diagnosis,14184
2010,Medi-Cal,Asian/Pacific Islander,Hypertension Status,Unknown Hypertension Status,42
2010,Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Non-Smoker,14798
2010,Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Smoker,236
2010,Medi-Cal,Asian/Pacific Islander,Smoking Status,Unknown Smoking Status,126
2010,Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Non-Substance User,15038
2010,Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Substance User,80
2010,Medi-Cal,Asian/Pacific Islander,Substance Use Status,Unknown Substance Use Status,42
2010,Medi-Cal,Hispanic,Diabetes Status,Diabetes Diagnosis,14434
2010,Medi-Cal,Hispanic,Diabetes Status,No Diabetes Diagnosis,161849
2010,Medi-Cal,Hispanic,Diabetes Status,Unknown Diabetes Status,346
2010,Medi-Cal,Hispanic,Hypertension Status,Hypertension Diagnosis,11616
2010,Medi-Cal,Hispanic,Hypertension Status,No Hypertension Diagnosis,164667
2010,Medi-Cal,Hispanic,Hypertension Status,Unknown Hypertension Status,346
2010,Medi-Cal,Hispanic,Smoking Status,Maternal Non-Smoker,172866
2010,Medi-Cal,Hispanic,Smoking Status,Maternal Smoker,1748
2010,Medi-Cal,Hispanic,Smoking Status,Unknown Smoking Status,2015
2010,Medi-Cal,Hispanic,Substance Use Status,Maternal Non-Substance User,174680
2010,Medi-Cal,Hispanic,Substance Use Status,Maternal Substance User,1603
2010,Medi-Cal,Hispanic,Substance Use Status,Unknown Substance Use Status,346
2010,Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Diabetes Diagnosis,488
2010,Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,No Diabetes Diagnosis,6820
2010,Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Unknown Diabetes Status,27
2010,Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Hypertension Diagnosis,662
2010,Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,No Hypertension Diagnosis,6646
2010,Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Unknown Hypertension Status,27
2010,Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Non-Smoker,6585
2010,Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Smoker,580
2010,Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Unknown Smoking Status,170
2010,Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Non-Substance User,7013
2010,Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Substance User,295
2010,Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Unknown Substance Use Status,27
2010,Medi-Cal,White,Diabetes Status,Diabetes Diagnosis,2158
2010,Medi-Cal,White,Diabetes Status,No Diabetes Diagnosis,35146
2010,Medi-Cal,White,Diabetes Status,Unknown Diabetes Status,66
2010,Medi-Cal,White,Hypertension Status,Hypertension Diagnosis,2822
2010,Medi-Cal,White,Hypertension Status,No Hypertension Diagnosis,34482
2010,Medi-Cal,White,Hypertension Status,Unknown Hypertension Status,66
2010,Medi-Cal,White,Smoking Status,Maternal Non-Smoker,31868
2010,Medi-Cal,White,Smoking Status,Maternal Smoker,5068
2010,Medi-Cal,White,Smoking Status,Unknown Smoking Status,434
2010,Medi-Cal,White,Substance Use Status,Maternal Non-Substance User,35618
2010,Medi-Cal,White,Substance Use Status,Maternal Substance User,1686
2010,Medi-Cal,White,Substance Use Status,Unknown Substance Use Status,66
2010,Non-Medi-Cal,African-American,Diabetes Status,Diabetes Diagnosis,529
2010,Non-Medi-Cal,African-American,Diabetes Status,No Diabetes Diagnosis,6781
2010,Non-Medi-Cal,African-American,Diabetes Status,Unknown Diabetes Status,1494
2010,Non-Medi-Cal,African-American,Hypertension Status,Hypertension Diagnosis,914
2010,Non-Medi-Cal,African-American,Hypertension Status,No Hypertension Diagnosis,6396
2010,Non-Medi-Cal,African-American,Hypertension Status,Unknown Hypertension Status,1494
2010,Non-Medi-Cal,African-American,Smoking Status,Maternal Non-Smoker,7124
2010,Non-Medi-Cal,African-American,Smoking Status,Maternal Smoker,125
2010,Non-Medi-Cal,African-American,Smoking Status,Unknown Smoking Status,1555
2010,Non-Medi-Cal,African-American,Substance Use Status,Maternal Non-Substance User,7201
2010,Non-Medi-Cal,African-American,Substance Use Status,Maternal Substance User,109
2010,Non-Medi-Cal,African-American,Substance Use Status,Unknown Substance Use Status,1494
2010,Non-Medi-Cal,American Indian/Alaska Native,Diabetes Status,Diabetes Diagnosis,58
2010,Non-Medi-Cal,American Indian/Alaska Native,Diabetes Status,No Diabetes Diagnosis,498
2010,Non-Medi-Cal,American Indian/Alaska Native,Diabetes Status,Unknown Diabetes Status,140
2010,Non-Medi-Cal,American Indian/Alaska Native,Hypertension Status,Hypertension Diagnosis,59
2010,Non-Medi-Cal,American Indian/Alaska Native,Hypertension Status,No Hypertension Diagnosis,497
2010,Non-Medi-Cal,American Indian/Alaska Native,Hypertension Status,Unknown Hypertension Status,140
2010,Non-Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Non-Smoker,520
2010,Non-Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Smoker,30
2010,Non-Medi-Cal,American Indian/Alaska Native,Smoking Status,Unknown Smoking Status,146
2010,Non-Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Non-Substance User,540
2010,Non-Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Substance User,16
2010,Non-Medi-Cal,American Indian/Alaska Native,Substance Use Status,Unknown Substance Use Status,140
2010,Non-Medi-Cal,Asian/Pacific Islander,Diabetes Status,Diabetes Diagnosis,6175
2010,Non-Medi-Cal,Asian/Pacific Islander,Diabetes Status,No Diabetes Diagnosis,38947
2010,Non-Medi-Cal,Asian/Pacific Islander,Diabetes Status,Unknown Diabetes Status,2375
2010,Non-Medi-Cal,Asian/Pacific Islander,Hypertension Status,Hypertension Diagnosis,2692
2010,Non-Medi-Cal,Asian/Pacific Islander,Hypertension Status,No Hypertension Diagnosis,42430
2010,Non-Medi-Cal,Asian/Pacific Islander,Hypertension Status,Unknown Hypertension Status,2375
2010,Non-Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Non-Smoker,44809
2010,Non-Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Smoker,173
2010,Non-Medi-Cal,Asian/Pacific Islander,Smoking Status,Unknown Smoking Status,2515
2010,Non-Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Non-Substance User,45085
2010,Non-Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Substance User,37
2010,Non-Medi-Cal,Asian/Pacific Islander,Substance Use Status,Unknown Substance Use Status,2375
2010,Non-Medi-Cal,Hispanic,Diabetes Status,Diabetes Diagnosis,6600
2010,Non-Medi-Cal,Hispanic,Diabetes Status,No Diabetes Diagnosis,64457
2010,Non-Medi-Cal,Hispanic,Diabetes Status,Unknown Diabetes Status,8702
2010,Non-Medi-Cal,Hispanic,Hypertension Status,Hypertension Diagnosis,5125
2010,Non-Medi-Cal,Hispanic,Hypertension Status,No Hypertension Diagnosis,65932
2010,Non-Medi-Cal,Hispanic,Hypertension Status,Unknown Hypertension Status,8702
2010,Non-Medi-Cal,Hispanic,Smoking Status,Maternal Non-Smoker,70173
2010,Non-Medi-Cal,Hispanic,Smoking Status,Maternal Smoker,328
2010,Non-Medi-Cal,Hispanic,Smoking Status,Unknown Smoking Status,9258
2010,Non-Medi-Cal,Hispanic,Substance Use Status,Maternal Non-Substance User,70716
2010,Non-Medi-Cal,Hispanic,Substance Use Status,Maternal Substance User,341
2010,Non-Medi-Cal,Hispanic,Substance Use Status,Unknown Substance Use Status,8702
2010,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Diabetes Diagnosis,819
2010,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,No Diabetes Diagnosis,9034
2010,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Unknown Diabetes Status,1927
2010,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Hypertension Diagnosis,845
2010,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,No Hypertension Diagnosis,9008
2010,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Unknown Hypertension Status,1927
2010,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Non-Smoker,9461
2010,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Smoker,156
2010,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Unknown Smoking Status,2163
2010,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Non-Substance User,9770
2010,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Substance User,83
2010,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Unknown Substance Use Status,1927
2010,Non-Medi-Cal,White,Diabetes Status,Diabetes Diagnosis,5535
2010,Non-Medi-Cal,White,Diabetes Status,No Diabetes Diagnosis,87405
2010,Non-Medi-Cal,White,Diabetes Status,Unknown Diabetes Status,7411
2010,Non-Medi-Cal,White,Hypertension Status,Hypertension Diagnosis,6857
2010,Non-Medi-Cal,White,Hypertension Status,No Hypertension Diagnosis,86083
2010,Non-Medi-Cal,White,Hypertension Status,Unknown Hypertension Status,7411
2010,Non-Medi-Cal,White,Smoking Status,Maternal Non-Smoker,90945
2010,Non-Medi-Cal,White,Smoking Status,Maternal Smoker,1446
2010,Non-Medi-Cal,White,Smoking Status,Unknown Smoking Status,7960
2010,Non-Medi-Cal,White,Substance Use Status,Maternal Non-Substance User,92455
2010,Non-Medi-Cal,White,Substance Use Status,Maternal Substance User,485
2010,Non-Medi-Cal,White,Substance Use Status,Unknown Substance Use Status,7411
2011,Medi-Cal,African-American,Diabetes Status,Diabetes Diagnosis,1145
2011,Medi-Cal,African-American,Diabetes Status,No Diabetes Diagnosis,17163
2011,Medi-Cal,African-American,Diabetes Status,Unknown Diabetes Status,61
2011,Medi-Cal,African-American,Hypertension Status,Hypertension Diagnosis,2191
2011,Medi-Cal,African-American,Hypertension Status,No Hypertension Diagnosis,16117
2011,Medi-Cal,African-American,Hypertension Status,Unknown Hypertension Status,61
2011,Medi-Cal,African-American,Smoking Status,Maternal Non-Smoker,16908
2011,Medi-Cal,African-American,Smoking Status,Maternal Smoker,979
2011,Medi-Cal,African-American,Smoking Status,Unknown Smoking Status,482
2011,Medi-Cal,African-American,Substance Use Status,Maternal Non-Substance User,17526
2011,Medi-Cal,African-American,Substance Use Status,Maternal Substance User,782
2011,Medi-Cal,African-American,Substance Use Status,Unknown Substance Use Status,61
2011,Medi-Cal,American Indian/Alaska Native,Diabetes Status,Diabetes Diagnosis,106
2011,Medi-Cal,American Indian/Alaska Native,Diabetes Status,No Diabetes Diagnosis,976
2011,Medi-Cal,American Indian/Alaska Native,Diabetes Status,Unknown Diabetes Status,3
2011,Medi-Cal,American Indian/Alaska Native,Hypertension Status,Hypertension Diagnosis,99
2011,Medi-Cal,American Indian/Alaska Native,Hypertension Status,No Hypertension Diagnosis,983
2011,Medi-Cal,American Indian/Alaska Native,Hypertension Status,Unknown Hypertension Status,3
2011,Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Non-Smoker,923
2011,Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Smoker,133
2011,Medi-Cal,American Indian/Alaska Native,Smoking Status,Unknown Smoking Status,29
2011,Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Non-Substance User,1000
2011,Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Substance User,82
2011,Medi-Cal,American Indian/Alaska Native,Substance Use Status,Unknown Substance Use Status,3
2011,Medi-Cal,Asian/Pacific Islander,Diabetes Status,Diabetes Diagnosis,1918
2011,Medi-Cal,Asian/Pacific Islander,Diabetes Status,No Diabetes Diagnosis,13785
2011,Medi-Cal,Asian/Pacific Islander,Diabetes Status,Unknown Diabetes Status,46
2011,Medi-Cal,Asian/Pacific Islander,Hypertension Status,Hypertension Diagnosis,943
2011,Medi-Cal,Asian/Pacific Islander,Hypertension Status,No Hypertension Diagnosis,14760
2011,Medi-Cal,Asian/Pacific Islander,Hypertension Status,Unknown Hypertension Status,46
2011,Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Non-Smoker,15346
2011,Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Smoker,243
2011,Medi-Cal,Asian/Pacific Islander,Smoking Status,Unknown Smoking Status,160
2011,Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Non-Substance User,15585
2011,Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Substance User,118
2011,Medi-Cal,Asian/Pacific Islander,Substance Use Status,Unknown Substance Use Status,46
2011,Medi-Cal,Hispanic,Diabetes Status,Diabetes Diagnosis,15380
2011,Medi-Cal,Hispanic,Diabetes Status,No Diabetes Diagnosis,154535
2011,Medi-Cal,Hispanic,Diabetes Status,Unknown Diabetes Status,382
2011,Medi-Cal,Hispanic,Hypertension Status,Hypertension Diagnosis,11704
2011,Medi-Cal,Hispanic,Hypertension Status,No Hypertension Diagnosis,158211
2011,Medi-Cal,Hispanic,Hypertension Status,Unknown Hypertension Status,382
2011,Medi-Cal,Hispanic,Smoking Status,Maternal Non-Smoker,166629
2011,Medi-Cal,Hispanic,Smoking Status,Maternal Smoker,1609
2011,Medi-Cal,Hispanic,Smoking Status,Unknown Smoking Status,2059
2011,Medi-Cal,Hispanic,Substance Use Status,Maternal Non-Substance User,168254
2011,Medi-Cal,Hispanic,Substance Use Status,Maternal Substance User,1661
2011,Medi-Cal,Hispanic,Substance Use Status,Unknown Substance Use Status,382
2011,Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Diabetes Diagnosis,630
2011,Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,No Diabetes Diagnosis,6901
2011,Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Unknown Diabetes Status,30
2011,Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Hypertension Diagnosis,691
2011,Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,No Hypertension Diagnosis,6840
2011,Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Unknown Hypertension Status,30
2011,Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Non-Smoker,6848
2011,Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Smoker,569
2011,Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Unknown Smoking Status,144
2011,Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Non-Substance User,7185
2011,Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Substance User,346
2011,Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Unknown Substance Use Status,30
2011,Medi-Cal,White,Diabetes Status,Diabetes Diagnosis,2419
2011,Medi-Cal,White,Diabetes Status,No Diabetes Diagnosis,34590
2011,Medi-Cal,White,Diabetes Status,Unknown Diabetes Status,88
2011,Medi-Cal,White,Hypertension Status,Hypertension Diagnosis,2899
2011,Medi-Cal,White,Hypertension Status,No Hypertension Diagnosis,34110
2011,Medi-Cal,White,Hypertension Status,Unknown Hypertension Status,88
