Calendar Year,Payer,Very Low Birthweight Status,Grouper,Birth Characteristic, Number of Births 
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Less Than High School,327
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Some College or Associate's Degree,815
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Unknown Education,230
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Nativity,Foreign-Born,1091
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Nativity,U.S.-Born,2035
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Nativity,Unknown Nativity,12
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,African-American,279
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,American Indian/Alaska Native,12
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Asian,493
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Hawaiian/Pacific Islander,21
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Hispanic,1149
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Other/Unknown Race,140
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Two or More Race Categories,81
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,White,963
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,First-Born,1390
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,One Previous Birth,933
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,Two or More Previous Births,798
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,Unknown Parity,17
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Normal Weight,883
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,933
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Underweight,67
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Unknown Weight,1255
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Single/Multiple Birth,Multiple Birth,1030
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Single/Multiple Birth,Singleton Birth,2108
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Smoking Status,Maternal Non-Smoker,2480
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Smoking Status,Maternal Smoker,40
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Smoking Status,Unknown Smoking Status,618
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Substance Use Status,Maternal Non-Substance User,2530
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Substance Use Status,Maternal Substance User,33
2009,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Substance Use Status,Unknown Substance Use Status,575
2010,Medi-Cal,"Birthweight >=1,500g",Diabetes Status,Diabetes Diagnosis,19579
2010,Medi-Cal,"Birthweight >=1,500g",Diabetes Status,No Diabetes Diagnosis,233385
2010,Medi-Cal,"Birthweight >=1,500g",Diabetes Status,Unknown Diabetes Status,550
2010,Medi-Cal,"Birthweight >=1,500g",Hypertension Status,Hypertension Diagnosis,17604
2010,Medi-Cal,"Birthweight >=1,500g",Hypertension Status,No Hypertension Diagnosis,235360
2010,Medi-Cal,"Birthweight >=1,500g",Hypertension Status,Unknown Hypertension Status,550
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 17 and Younger,10188
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 18-19,24563
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 20-24,79061
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 25-29,68076
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 30-34,43801
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 35 and Older,27825
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Invalid Age,0
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Bachelor's Degree or Higher,10572
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,High School Graduate,83192
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Less Than High School,97561
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Some College or Associate's Degree,53931
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Unknown Education,8258
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Nativity,Foreign-Born,120399
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Nativity,U.S.-Born,133029
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Nativity,Unknown Nativity,86
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,African-American,18244
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,American Indian/Alaska Native,1146
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Asian,13805
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Hawaiian/Pacific Islander,1192
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Hispanic,174916
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Other/Unknown Race,3051
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Two or More Race Categories,4169
2010,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,White,36991
2010,Medi-Cal,"Birthweight >=1,500g",Parity Status,First-Born,89761
2010,Medi-Cal,"Birthweight >=1,500g",Parity Status,One Previous Birth,72120
2010,Medi-Cal,"Birthweight >=1,500g",Parity Status,Two or More Previous Births,91428
2010,Medi-Cal,"Birthweight >=1,500g",Parity Status,Unknown Parity,205
2010,Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Normal Weight,100951
2010,Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,123842
2010,Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Underweight,8821
2010,Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Unknown Weight,19900
2010,Medi-Cal,"Birthweight >=1,500g",Single/Multiple Birth,Multiple Birth,5002
2010,Medi-Cal,"Birthweight >=1,500g",Single/Multiple Birth,Singleton Birth,248512
2010,Medi-Cal,"Birthweight >=1,500g",Smoking Status,Maternal Non-Smoker,241659
2010,Medi-Cal,"Birthweight >=1,500g",Smoking Status,Maternal Smoker,8713
2010,Medi-Cal,"Birthweight >=1,500g",Smoking Status,Unknown Smoking Status,3142
2010,Medi-Cal,"Birthweight >=1,500g",Substance Use Status,Maternal Non-Substance User,248610
2010,Medi-Cal,"Birthweight >=1,500g",Substance Use Status,Maternal Substance User,4354
2010,Medi-Cal,"Birthweight >=1,500g",Substance Use Status,Unknown Substance Use Status,550
2010,Medi-Cal,Unknown Birthweight,Diabetes Status,Diabetes Diagnosis,0
2010,Medi-Cal,Unknown Birthweight,Diabetes Status,No Diabetes Diagnosis,19
2010,Medi-Cal,Unknown Birthweight,Diabetes Status,Unknown Diabetes Status,1
2010,Medi-Cal,Unknown Birthweight,Hypertension Status,Hypertension Diagnosis,4
2010,Medi-Cal,Unknown Birthweight,Hypertension Status,No Hypertension Diagnosis,15
2010,Medi-Cal,Unknown Birthweight,Hypertension Status,Unknown Hypertension Status,1
2010,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 17 and Younger,0
2010,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 18-19,2
2010,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 20-24,5
2010,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 25-29,7
2010,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 30-34,3
2010,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 35 and Older,3
2010,Medi-Cal,Unknown Birthweight,Maternal Age Group,Invalid Age,0
2010,Medi-Cal,Unknown Birthweight,Maternal Education Status,Bachelor's Degree or Higher,0
2010,Medi-Cal,Unknown Birthweight,Maternal Education Status,High School Graduate,8
2010,Medi-Cal,Unknown Birthweight,Maternal Education Status,Less Than High School,8
2010,Medi-Cal,Unknown Birthweight,Maternal Education Status,Some College or Associate's Degree,3
2010,Medi-Cal,Unknown Birthweight,Maternal Education Status,Unknown Education,1
2010,Medi-Cal,Unknown Birthweight,Maternal Nativity,Foreign-Born,8
2010,Medi-Cal,Unknown Birthweight,Maternal Nativity,U.S.-Born,12
2010,Medi-Cal,Unknown Birthweight,Maternal Nativity,Unknown Nativity,0
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,African-American,3
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,0
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Asian,0
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,0
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hispanic,13
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,1
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,1
2010,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,White,2
2010,Medi-Cal,Unknown Birthweight,Parity Status,First-Born,8
2010,Medi-Cal,Unknown Birthweight,Parity Status,One Previous Birth,5
2010,Medi-Cal,Unknown Birthweight,Parity Status,Two or More Previous Births,7
2010,Medi-Cal,Unknown Birthweight,Parity Status,Unknown Parity,0
2010,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Normal Weight,6
2010,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,11
2010,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Underweight,0
2010,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Unknown Weight,3
2010,Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Multiple Birth,0
2010,Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Singleton Birth,20
2010,Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Non-Smoker,17
2010,Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Smoker,1
2010,Medi-Cal,Unknown Birthweight,Smoking Status,Unknown Smoking Status,2
2010,Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Non-Substance User,18
2010,Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Substance User,1
2010,Medi-Cal,Unknown Birthweight,Substance Use Status,Unknown Substance Use Status,1
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Diabetes Status,Diabetes Diagnosis,262
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Diabetes Status,No Diabetes Diagnosis,2568
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Diabetes Status,Unknown Diabetes Status,8
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Hypertension Status,Hypertension Diagnosis,778
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Hypertension Status,No Hypertension Diagnosis,2052
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Hypertension Status,Unknown Hypertension Status,8
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 17 and Younger,133
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 18-19,291
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 20-24,740
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 25-29,689
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 30-34,555
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 35 and Older,430
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Invalid Age,0
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Bachelor's Degree or Higher,110
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,High School Graduate,914
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Less Than High School,991
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Some College or Associate's Degree,686
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Unknown Education,137
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Nativity,Foreign-Born,1061
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Nativity,U.S.-Born,1770
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Nativity,Unknown Nativity,7
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,African-American,472
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,American Indian/Alaska Native,13
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Asian,141
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Hawaiian/Pacific Islander,22
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Hispanic,1700
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Other/Unknown Race,55
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Two or More Race Categories,58
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,White,377
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,First-Born,1066
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,One Previous Birth,708
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,Two or More Previous Births,1055
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,Unknown Parity,9
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Normal Weight,841
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,1338
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Underweight,83
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Unknown Weight,576
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Single/Multiple Birth,Multiple Birth,574
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Single/Multiple Birth,Singleton Birth,2264
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Smoking Status,Maternal Non-Smoker,2639
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Smoking Status,Maternal Smoker,128
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Smoking Status,Unknown Smoking Status,71
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Substance Use Status,Maternal Non-Substance User,2687
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Substance Use Status,Maternal Substance User,143
2010,Medi-Cal,"Very Low Birthweight (<1,500g)",Substance Use Status,Unknown Substance Use Status,8
2010,Non-Medi-Cal,"Birthweight >=1,500g",Diabetes Status,Diabetes Diagnosis,19410
2010,Non-Medi-Cal,"Birthweight >=1,500g",Diabetes Status,No Diabetes Diagnosis,205022
2010,Non-Medi-Cal,"Birthweight >=1,500g",Diabetes Status,Unknown Diabetes Status,21509
2010,Non-Medi-Cal,"Birthweight >=1,500g",Hypertension Status,Hypertension Diagnosis,15780
2010,Non-Medi-Cal,"Birthweight >=1,500g",Hypertension Status,No Hypertension Diagnosis,208652
2010,Non-Medi-Cal,"Birthweight >=1,500g",Hypertension Status,Unknown Hypertension Status,21509
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 17 and Younger,3318
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 18-19,4772
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 20-24,26847
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 25-29,66067
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 30-34,82112
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 35 and Older,62790
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Invalid Age,35
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Bachelor's Degree or Higher,112633
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,High School Graduate,43002
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Less Than High School,17263
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Some College or Associate's Degree,63949
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Unknown Education,9094
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Nativity,Foreign-Born,86505
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Nativity,U.S.-Born,159293
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Nativity,Unknown Nativity,143
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,African-American,8567
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,American Indian/Alaska Native,686
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Asian,46034
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Hawaiian/Pacific Islander,1000
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Hispanic,78722
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Other/Unknown Race,5772
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Two or More Race Categories,5817
2010,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,White,99343
2010,Non-Medi-Cal,"Birthweight >=1,500g",Parity Status,First-Born,105960
2010,Non-Medi-Cal,"Birthweight >=1,500g",Parity Status,One Previous Birth,84106
2010,Non-Medi-Cal,"Birthweight >=1,500g",Parity Status,Two or More Previous Births,55560
2010,Non-Medi-Cal,"Birthweight >=1,500g",Parity Status,Unknown Parity,315
2010,Non-Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Normal Weight,116996
2010,Non-Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,82875
2010,Non-Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Underweight,8648
2010,Non-Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Unknown Weight,37422
2010,Non-Medi-Cal,"Birthweight >=1,500g",Single/Multiple Birth,Multiple Birth,9327
2010,Non-Medi-Cal,"Birthweight >=1,500g",Single/Multiple Birth,Singleton Birth,236614
2010,Non-Medi-Cal,"Birthweight >=1,500g",Smoking Status,Maternal Non-Smoker,220692
2010,Non-Medi-Cal,"Birthweight >=1,500g",Smoking Status,Maternal Smoker,2213
2010,Non-Medi-Cal,"Birthweight >=1,500g",Smoking Status,Unknown Smoking Status,23036
2010,Non-Medi-Cal,"Birthweight >=1,500g",Substance Use Status,Maternal Non-Substance User,223387
2010,Non-Medi-Cal,"Birthweight >=1,500g",Substance Use Status,Maternal Substance User,1045
2010,Non-Medi-Cal,"Birthweight >=1,500g",Substance Use Status,Unknown Substance Use Status,21509
2010,Non-Medi-Cal,Unknown Birthweight,Diabetes Status,Diabetes Diagnosis,0
2010,Non-Medi-Cal,Unknown Birthweight,Diabetes Status,No Diabetes Diagnosis,23
2010,Non-Medi-Cal,Unknown Birthweight,Diabetes Status,Unknown Diabetes Status,23
2010,Non-Medi-Cal,Unknown Birthweight,Hypertension Status,Hypertension Diagnosis,0
2010,Non-Medi-Cal,Unknown Birthweight,Hypertension Status,No Hypertension Diagnosis,23
2010,Non-Medi-Cal,Unknown Birthweight,Hypertension Status,Unknown Hypertension Status,23
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 17 and Younger,2
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 18-19,3
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 20-24,10
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 25-29,7
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 30-34,8
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 35 and Older,16
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Invalid Age,0
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Bachelor's Degree or Higher,15
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,High School Graduate,10
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Less Than High School,10
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Some College or Associate's Degree,8
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Unknown Education,3
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Nativity,Foreign-Born,15
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Nativity,U.S.-Born,31
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Nativity,Unknown Nativity,0
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,African-American,3
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,0
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Asian,5
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,0
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hispanic,21
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,3
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,0
2010,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,White,15
2010,Non-Medi-Cal,Unknown Birthweight,Parity Status,First-Born,16
2010,Non-Medi-Cal,Unknown Birthweight,Parity Status,One Previous Birth,14
2010,Non-Medi-Cal,Unknown Birthweight,Parity Status,Two or More Previous Births,16
2010,Non-Medi-Cal,Unknown Birthweight,Parity Status,Unknown Parity,0
2010,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Normal Weight,10
2010,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,10
2010,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Underweight,0
2010,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Unknown Weight,26
2010,Non-Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Multiple Birth,17
2010,Non-Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Singleton Birth,29
2010,Non-Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Non-Smoker,22
2010,Non-Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Smoker,1
2010,Non-Medi-Cal,Unknown Birthweight,Smoking Status,Unknown Smoking Status,23
2010,Non-Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Non-Substance User,23
2010,Non-Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Substance User,0
2010,Non-Medi-Cal,Unknown Birthweight,Substance Use Status,Unknown Substance Use Status,23
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Diabetes Status,Diabetes Diagnosis,306
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Diabetes Status,No Diabetes Diagnosis,2077
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Diabetes Status,Unknown Diabetes Status,517
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Hypertension Status,Hypertension Diagnosis,712
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Hypertension Status,No Hypertension Diagnosis,1671
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Hypertension Status,Unknown Hypertension Status,517
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 17 and Younger,53
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 18-19,78
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 20-24,344
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 25-29,686
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 30-34,883
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 35 and Older,856
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Invalid Age,0
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Bachelor's Degree or Higher,1091
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,High School Graduate,553
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Less Than High School,273
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Some College or Associate's Degree,789
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Unknown Education,194
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Nativity,Foreign-Born,998
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Nativity,U.S.-Born,1894
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Nativity,Unknown Nativity,8
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,African-American,234
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,American Indian/Alaska Native,10
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Asian,443
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Hawaiian/Pacific Islander,15
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Hispanic,1016
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Other/Unknown Race,124
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Two or More Race Categories,64
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,White,994
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,First-Born,1323
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,One Previous Birth,853
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,Two or More Previous Births,716
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,Unknown Parity,8
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Normal Weight,808
2010,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,893
